instance_id,scenario,variant,jobs,instance_seed,path,sha256,parameters_json
D0_balanced_jobs50_iseed1,D0_balanced,,50,1,instances/diagnostic/D0_balanced/jobs50_seed1.json,d0d81112abf6dcd09e4b492bf8f24a482804adf39f50bc5ea8bcba3c46e12351,"{""active_kw"": 100, ""compute"": [0.15, 0.2], ""compute_capacity"": 1.0, ""decode_s"": [180, 300, 600], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [60, 120, 240], ""regions"": 3, ""release"": {""end_s"": 3600, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D0_balanced"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D0_balanced_jobs50_iseed2,D0_balanced,,50,2,instances/diagnostic/D0_balanced/jobs50_seed2.json,19b854d09c0e9c9068611f3b5968968e03143bbd87daf3f1b2f689b9861a499e,"{""active_kw"": 100, ""compute"": [0.15, 0.2], ""compute_capacity"": 1.0, ""decode_s"": [180, 300, 600], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [60, 120, 240], ""regions"": 3, ""release"": {""end_s"": 3600, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D0_balanced"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D0_balanced_jobs50_iseed3,D0_balanced,,50,3,instances/diagnostic/D0_balanced/jobs50_seed3.json,16ad7efeb2a172124f6cc96746bbb576e1c6b1b9dca2fef6e74529845370024f,"{""active_kw"": 100, ""compute"": [0.15, 0.2], ""compute_capacity"": 1.0, ""decode_s"": [180, 300, 600], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [60, 120, 240], ""regions"": 3, ""release"": {""end_s"": 3600, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D0_balanced"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D1_resource_jobs50_iseed1,D1_resource,,50,1,instances/diagnostic/D1_resource/jobs50_seed1.json,a1e1bc005a89042b0870ca3d2e08ca3ae3903f2b12ccab084bff9570585de505,"{""active_kw"": 100, ""compute"": [0.45, 0.6, 0.75], ""compute_capacity"": 1.0, ""decode_s"": [300, 600, 900], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [120, 300, 600], ""regions"": 3, ""release"": {""components"": [{""end_s"": 300, ""start_s"": 0, ""step_s"": 60}, {""end_s"": 900, ""start_s"": 300, ""step_s"": 60}], ""kind"": ""mixture"", ""weights"": [0.75, 0.25]}, ""scenario"": ""D1_resource"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [4, 6, 8]}"
D1_resource_jobs50_iseed2,D1_resource,,50,2,instances/diagnostic/D1_resource/jobs50_seed2.json,22869974db6b9dde9377d300b2e858989615fd2cbd09e34a1c9acb8bf1aed4cd,"{""active_kw"": 100, ""compute"": [0.45, 0.6, 0.75], ""compute_capacity"": 1.0, ""decode_s"": [300, 600, 900], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [120, 300, 600], ""regions"": 3, ""release"": {""components"": [{""end_s"": 300, ""start_s"": 0, ""step_s"": 60}, {""end_s"": 900, ""start_s"": 300, ""step_s"": 60}], ""kind"": ""mixture"", ""weights"": [0.75, 0.25]}, ""scenario"": ""D1_resource"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [4, 6, 8]}"
D1_resource_jobs50_iseed3,D1_resource,,50,3,instances/diagnostic/D1_resource/jobs50_seed3.json,fa0f9b467a84a195da956d219c357a15cb4928f79c54fe45b3fe63c2076cda57,"{""active_kw"": 100, ""compute"": [0.45, 0.6, 0.75], ""compute_capacity"": 1.0, ""decode_s"": [300, 600, 900], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [120, 300, 600], ""regions"": 3, ""release"": {""components"": [{""end_s"": 300, ""start_s"": 0, ""step_s"": 60}, {""end_s"": 900, ""start_s"": 300, ""step_s"": 60}], ""kind"": ""mixture"", ""weights"": [0.75, 0.25]}, ""scenario"": ""D1_resource"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [4, 6, 8]}"
D2_kv_jobs50_iseed1,D2_kv,,50,1,instances/diagnostic/D2_kv/jobs50_seed1.json,4291f4fbd5b670ed0cba40924621765f47e569d2a55af03b14a1508d8a4a667c,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [120, 240], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [600, 900, 1200], ""prefill_s"": [60, 120], ""regions"": 3, ""release"": {""end_s"": 1800, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D2_kv"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D2_kv_jobs50_iseed2,D2_kv,,50,2,instances/diagnostic/D2_kv/jobs50_seed2.json,14f4f0bf14611193c2775030c8d59907896f30404e7831dff8d26af1bfccb6f6,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [120, 240], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [600, 900, 1200], ""prefill_s"": [60, 120], ""regions"": 3, ""release"": {""end_s"": 1800, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D2_kv"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D2_kv_jobs50_iseed3,D2_kv,,50,3,instances/diagnostic/D2_kv/jobs50_seed3.json,73ec290039c0e64240ed0491f22034717d7cd53f554581b03ed904b9c6edce35,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [120, 240], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [600, 900, 1200], ""prefill_s"": [60, 120], ""regions"": 3, ""release"": {""end_s"": 1800, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D2_kv"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D3_region_jobs50_iseed1,D3_region,,50,1,instances/diagnostic/D3_region/jobs50_seed1.json,9d843122d917ceeada1954b1499cc58ab64c8432461a3da8df0ffb9fe2c2765a,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [300, 600], ""demand_rate_cny_kw"": 0.2, ""flat_region_prices_cny_kwh"": [0.25, 0.75, 1.25], ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [120, 240, 300], ""regions"": 3, ""release"": {""end_s"": 1800, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D3_region"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
