argmax_action,consensus,effective_runs,state_id,visits
A3,0.375,8,0,1477
A7,0.375,8,1,3819
A7,0.5,6,2,5485
A7,0.5,6,3,7015
A2,0.5,4,4,28
A2,1.0,1,5,13
A7,0.4411764705882353,34,6,30305
A7,0.4666666666666667,30,7,24464
A7,0.3333333333333333,6,8,8331
A7,0.3333333333333333,6,9,8319
A2,0.32,25,10,17457
A4,0.2,20,11,13129
A2,0.3888888888888889,18,12,7557
A2,0.2727272727272727,11,13,3311
A7,0.6666666666666666,3,14,120
A7,1.0,2,15,428
A1,0.3333333333333333,12,16,5900
A1,0.2727272727272727,11,17,4829
A7,0.5,6,18,1686
A7,0.4,5,19,827
A2,0.4166666666666667,36,20,14198
A1,0.30303030303030304,33,21,16349
A3,0.5,6,22,4639
A7,0.6666666666666666,6,23,4283
A7,0.2631578947368421,19,24,5860
A2,0.3333333333333333,15,25,4694
A2,0.4375,16,26,1192
A3,0.2,5,27,1050
A7,1.0,1,28,8
A8,1.0,1,29,5
A7,0.3333333333333333,12,30,5501
A7,0.5,10,31,5744
A7,0.5,6,32,1554
A2,0.2,5,33,423
A2,0.2857142857142857,35,34,14038
A2,0.25806451612903225,31,35,20508
A1,0.3333333333333333,6,36,4100
A2,0.6,5,37,3728
A1,0.2857142857142857,14,38,2187
A2,0.4,10,39,2037
A7,0.3,10,40,352
A7,0.6666666666666666,3,41,60
