algorithm_seed,counts_json,distinct,effective_1,effective_10,effective_20,effective_5,first_generation_json,instance_seed,longest_dwell,run_id,transitions
101,"{""Compressible"": 3915, ""Region"": 1345}",2,2,2,2,2,"{""Compressible"": 1, ""Region"": 1}",7101,1516,type_i_D03I_Normal_soft_j50_i7101_a101_g50,169
202,"{""Compressible"": 932, ""Region"": 3478}",2,2,2,2,2,"{""Compressible"": 1, ""Region"": 1}",7101,1310,type_i_D03I_Normal_soft_j50_i7101_a202_g50,114
303,"{""Compressible"": 938, ""Region"": 2032}",2,2,2,2,2,"{""Compressible"": 1, ""Region"": 1}",7101,1600,type_i_D03I_Normal_soft_j50_i7101_a303_g50,63
101,"{""Compressible"": 1671, ""Demand"": 8, ""Region"": 6871}",3,3,2,2,3,"{""Compressible"": 1, ""Demand"": 12, ""Region"": 2}",7102,2525,type_i_D03I_Normal_soft_j50_i7102_a101_g50,115
202,"{""Compressible"": 1211, ""Region"": 3904}",2,2,2,2,2,"{""Compressible"": 1, ""Region"": 1}",7102,2070,type_i_D03I_Normal_soft_j50_i7102_a202_g50,123
303,"{""Compressible"": 703, ""Demand"": 3, ""Region"": 4524}",3,3,2,2,2,"{""Compressible"": 1, ""Demand"": 3, ""Region"": 1}",7102,3035,type_i_D03I_Normal_soft_j50_i7102_a303_g50,119
101,"{""Resource"": 5170}",1,1,1,1,1,"{""Resource"": 1}",7101,5170,type_i_D03I_Resource_moderate_j50_i7101_a101_g50,0
202,"{""Resource"": 5420}",1,1,1,1,1,"{""Resource"": 1}",7101,5420,type_i_D03I_Resource_moderate_j50_i7101_a202_g50,0
303,"{""Resource"": 5995}",1,1,1,1,1,"{""Resource"": 1}",7101,5995,type_i_D03I_Resource_moderate_j50_i7101_a303_g50,0
101,"{""Resource"": 5945}",1,1,1,1,1,"{""Resource"": 1}",7102,5945,type_i_D03I_Resource_moderate_j50_i7102_a101_g50,0
202,"{""Resource"": 4730}",1,1,1,1,1,"{""Resource"": 1}",7102,4730,type_i_D03I_Resource_moderate_j50_i7102_a202_g50,0
303,"{""Resource"": 5325}",1,1,1,1,1,"{""Resource"": 1}",7102,5325,type_i_D03I_Resource_moderate_j50_i7102_a303_g50,0
101,"{""Compressible"": 120, ""Demand"": 22, ""KV"": 517, ""Region"": 4056}",4,4,4,4,4,"{""Compressible"": 1, ""Demand"": 1, ""KV"": 1, ""Region"": 1}",7101,1435,type_i_D03I_KV_moderate_j50_i7101_a101_g50,104
202,"{""Compressible"": 2303, ""Demand"": 101, ""KV"": 372, ""Normal"": 348, ""Region"": 1071}",5,5,5,5,5,"{""Compressible"": 1, ""Demand"": 1, ""KV"": 1, ""Normal"": 18, ""Region"": 1}",7101,130,type_i_D03I_KV_moderate_j50_i7101_a202_g50,390
303,"{""Compressible"": 722, ""Demand"": 366, ""KV"": 3047, ""Normal"": 86, ""Region"": 174}",5,5,5,5,5,"{""Compressible"": 1, ""Demand"": 1, ""KV"": 1, ""Normal"": 13, ""Region"": 1}",7101,135,type_i_D03I_KV_moderate_j50_i7101_a303_g50,247
101,"{""Compressible"": 146, ""Demand"": 82, ""KV"": 294, ""Region"": 5548}",4,4,4,4,4,"{""Compressible"": 1, ""Demand"": 1, ""KV"": 1, ""Region"": 1}",7102,3090,type_i_D03I_KV_moderate_j50_i7102_a101_g50,89
202,"{""Compressible"": 265, ""Demand"": 10, ""KV"": 260, ""Region"": 1390}",4,4,4,3,4,"{""Compressible"": 1, ""Demand"": 2, ""KV"": 1, ""Region"": 1}",7102,945,type_i_D03I_KV_moderate_j50_i7102_a202_g50,67
303,"{""Compressible"": 401, ""Demand"": 1588, ""KV"": 41, ""Normal"": 3241, ""Region"": 874}",5,5,5,5,5,"{""Compressible"": 1, ""Demand"": 1, ""KV"": 1, ""Normal"": 18, ""Region"": 1}",7102,125,type_i_D03I_KV_moderate_j50_i7102_a303_g50,573
101,"{""Demand"": 94, ""Region"": 10236}",2,2,2,2,2,"{""Demand"": 1, ""Region"": 1}",7101,9976,type_i_D03I_Region_soft_j50_i7101_a101_g50,38
202,"{""Demand"": 164, ""Region"": 10891}",2,2,2,2,2,"{""Demand"": 1, ""Region"": 1}",7101,5840,type_i_D03I_Region_soft_j50_i7101_a202_g50,36
303,"{""Demand"": 45, ""Region"": 9350}",2,2,2,2,2,"{""Demand"": 1, ""Region"": 1}",7101,8340,type_i_D03I_Region_soft_j50_i7101_a303_g50,22
101,"{""Demand"": 66, ""Region"": 7329}",2,2,2,2,2,"{""Demand"": 1, ""Region"": 1}",7102,6350,type_i_D03I_Region_soft_j50_i7102_a101_g50,30
202,"{""Demand"": 67, ""Region"": 7668}",2,2,2,2,2,"{""Demand"": 1, ""Region"": 1}",7102,6790,type_i_D03I_Region_soft_j50_i7102_a202_g50,28
303,"{""Demand"": 50, ""Region"": 7920}",2,2,2,2,2,"{""Demand"": 1, ""Region"": 1}",7102,7155,type_i_D03I_Region_soft_j50_i7102_a303_g50,24
101,"{""Region"": 851, ""TOU"": 5104}",2,2,2,2,2,"{""Region"": 1, ""TOU"": 1}",7101,1395,type_i_D03I_TOU_soft_j50_i7101_a101_g50,70
202,"{""Region"": 34, ""TOU"": 4811}",2,2,2,2,2,"{""Region"": 1, ""TOU"": 1}",7101,4150,type_i_D03I_TOU_soft_j50_i7101_a202_g50,12
303,"{""Region"": 1179, ""TOU"": 7456}",2,2,2,2,2,"{""Region"": 1, ""TOU"": 1}",7101,1480,type_i_D03I_TOU_soft_j50_i7101_a303_g50,155
101,"{""Region"": 1027, ""TOU"": 6468}",2,2,2,2,2,"{""Region"": 2, ""TOU"": 1}",7102,890,type_i_D03I_TOU_soft_j50_i7102_a101_g50,156
202,"{""Region"": 4464, ""TOU"": 3376}",2,2,2,2,2,"{""Region"": 4, ""TOU"": 1}",7102,230,type_i_D03I_TOU_soft_j50_i7102_a202_g50,120
