argmax_action,consensus,effective_runs,state_id,visits
,nan,0,0,0
,nan,0,1,0
,nan,0,2,0
,nan,0,3,0
,nan,0,4,0
,nan,0,5,0
A7,0.2,15,6,2698
A3,0.25,8,7,2466
A7,0.7333333333333333,15,8,16604
A7,0.3333333333333333,15,9,12696
A1,0.5,8,10,288
A1,1.0,1,11,43
A4,1.0,1,12,5
,nan,0,13,0
,nan,0,14,0
,nan,0,15,0
,nan,0,16,0
,nan,0,17,0
,nan,0,18,0
,nan,0,19,0
A7,0.4666666666666667,15,20,5229
A1,0.4444444444444444,9,21,1924
A7,0.5333333333333333,15,22,20731
A7,0.3333333333333333,15,23,12966
A6,0.21428571428571427,14,24,165
,nan,0,25,0
,nan,0,26,0
,nan,0,27,0
,nan,0,28,0
,nan,0,29,0
,nan,0,30,0
,nan,0,31,0
,nan,0,32,0
,nan,0,33,0
A7,0.4,15,34,2445
A7,0.6666666666666666,9,35,1536
A7,0.6666666666666666,15,36,8896
A7,0.5333333333333333,15,37,6322
A8,0.6,5,38,34
A7,1.0,1,39,2
,nan,0,40,0
,nan,0,41,0
