count,left,right,suite,win_rate
95050,resource,resource,D03 Type-II,0.0
95050,resource,kv,D03 Type-II,0.6529615991583377
95050,resource,region,D03 Type-II,0.08832193582325092
95050,resource,tou,D03 Type-II,0.0
95050,resource,demand,D03 Type-II,0.000389268805891636
95050,resource,compressible,D03 Type-II,0.06824829037348763
95050,kv,resource,D03 Type-II,0.34382956338769066
95050,kv,kv,D03 Type-II,0.0
95050,kv,region,D03 Type-II,0.07663335086796423
95050,kv,tou,D03 Type-II,0.0
95050,kv,demand,D03 Type-II,0.0
95050,kv,compressible,D03 Type-II,0.034760652288269335
95050,region,resource,D03 Type-II,0.9116780641767491
95050,region,kv,D03 Type-II,0.9233666491320358
95050,region,region,D03 Type-II,0.0
95050,region,tou,D03 Type-II,0.17156233561283535
95050,region,demand,D03 Type-II,0.33318253550762755
95050,region,compressible,D03 Type-II,0.7186428195686481
95050,tou,resource,D03 Type-II,1.0
95050,tou,kv,D03 Type-II,1.0
95050,tou,region,D03 Type-II,0.8284376643871646
95050,tou,tou,D03 Type-II,0.0
95050,tou,demand,D03 Type-II,0.9935928458705944
95050,tou,compressible,D03 Type-II,0.999947396107312
95050,demand,resource,D03 Type-II,0.9996107311941084
95050,demand,kv,D03 Type-II,1.0
95050,demand,region,D03 Type-II,0.6668174644923724
95050,demand,tou,D03 Type-II,0.006407154129405576
95050,demand,demand,D03 Type-II,0.0
95050,demand,compressible,D03 Type-II,0.9957075223566544
95050,compressible,resource,D03 Type-II,0.9297211993687533
95050,compressible,kv,D03 Type-II,0.9652393477117307
95050,compressible,region,D03 Type-II,0.28135718043135194
95050,compressible,tou,D03 Type-II,5.2603892688058915e-05
95050,compressible,demand,D03 Type-II,0.004292477643345608
95050,compressible,compressible,D03 Type-II,0.0
