count,generation_bin,group,level,margin_mean,margin_median,margin_p90,suite
6515,all,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.5851327163352935,0.6252798204160894,0.7743029013488842,D03 Type-II
95050,all,D03 Type-II,suite,0.5458309007514182,0.5284848666892399,0.9032614380191066,D03 Type-II
125,Generation 1,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.39479750409754394,0.39749974070099703,0.5831564979216401,D03 Type-II
2015,Generation 1,D03 Type-II,suite,0.2941051030749925,0.23382457376985433,0.5767705925157931,D03 Type-II
1000,1-10,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.5024074019007468,0.5395943562610226,0.7629150371903997,D03 Type-II
15765,1-10,D03 Type-II,suite,0.39790566193588467,0.36194337657441955,0.7511199337862235,D03 Type-II
1285,11-20,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.6797513973919566,0.7362504644177654,0.7849715259825407,D03 Type-II
17475,11-20,D03 Type-II,suite,0.5584393459845902,0.5251410313812814,0.9378278777368305,D03 Type-II
1290,21-30,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.566306097246815,0.6311712727956384,0.7628264422476705,D03 Type-II
19600,21-30,D03 Type-II,suite,0.6000963915769424,0.5834842516279002,0.9277080652080656,D03 Type-II
1545,31-40,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.6066452540260464,0.6194269391904201,0.8245349447199373,D03 Type-II
20925,31-40,D03 Type-II,suite,0.5805440982538994,0.5511213323713322,0.9111821393619237,D03 Type-II
1395,41-50,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.5508601551658732,0.5366736111111112,0.6996122391426955,D03 Type-II
21285,41-50,D03 Type-II,suite,0.5609463121471198,0.5568978740471002,0.8688893834708432,D03 Type-II
7000,all,type_ii_D03II_long_long_j50_i8101_a202_g50,run,0.399827338267695,0.39864414956141303,0.6540139488558188,D03 Type-II
145,Generation 1,type_ii_D03II_long_long_j50_i8101_a202_g50,run,0.3083459716944894,0.312357812357845,0.5397991290600668,D03 Type-II
1120,1-10,type_ii_D03II_long_long_j50_i8101_a202_g50,run,0.4106118839440568,0.41517005882544433,0.6590936036834394,D03 Type-II
1335,11-20,type_ii_D03II_long_long_j50_i8101_a202_g50,run,0.28358837094066425,0.2864172488918939,0.5869455175144012,D03 Type-II
1710,21-30,type_ii_D03II_long_long_j50_i8101_a202_g50,run,0.3639705611800563,0.3837046687045662,0.660276327177602,D03 Type-II
1425,31-40,type_ii_D03II_long_long_j50_i8101_a202_g50,run,0.4216816912285758,0.5018830412580719,0.6190668974759883,D03 Type-II
1410,41-50,type_ii_D03II_long_long_j50_i8101_a202_g50,run,0.5227159666894453,0.5417188667794575,0.6624651943672335,D03 Type-II
7030,all,type_ii_D03II_long_long_j50_i8101_a303_g50,run,0.5784311441509057,0.6419297177361694,0.7354243653978403,D03 Type-II
120,Generation 1,type_ii_D03II_long_long_j50_i8101_a303_g50,run,0.3743349751296864,0.3059714323720072,0.7593014991861722,D03 Type-II
