suite,action,share,n,positive,success,reward,no_feasible
D03-I,A1,0.17004396716081085,43703,7108,0.16264329679884676,0.6105299366461717,0.0
D03-I,A2,0.1778218746352282,45702,7391,0.16172158767668812,0.7935002316232551,0.0
D03-I,A3,0.11147426170187931,28650,2116,0.07385689354275742,0.37699999367642,0.0
D03-I,A4,0.085708727286876,22028,2730,0.1239331759578718,0.2891775720459112,0.11008716179408026
D03-I,A5,0.05579160343955488,14339,1893,0.13201757444731152,0.09621953012968622,0.2955575702629193
D03-I,A6,0.1018715225088518,26182,1852,0.07073561989152853,0.4532955144363522,0.0
D03-I,A7,0.2613011166880666,67157,17145,0.2552972884434981,0.881397743581677,0.04120195958723588
D03-I,A8,0.03598692657873234,9249,794,0.08584711860741702,0.1965902393058222,0.42264028543626336
D03-II,A1,0.1158863755917938,11015,2137,0.19400817067635043,0.8147346153935634,0.0
D03-II,A2,0.15396107311941085,14634,3352,0.22905562388957224,1.0867357204229842,0.0
D03-II,A3,0.09549710678590216,9077,1235,0.13605816899856782,0.5162431425996064,0.0
D03-II,A4,0.08477643345607574,8058,1065,0.13216679076693968,0.42654996656501515,0.012534127575080664
D03-II,A5,0.025470804839558128,2421,60,0.024783147459727387,-0.7077066168131283,0.7889301941346551
D03-II,A6,0.06651236191478169,6322,507,0.08019614046187916,0.5504046019494596,0.0
D03-II,A7,0.4047343503419253,38470,14001,0.3639459318949831,0.9700427704398282,0.0
D03-II,A8,0.05316149395055234,5053,733,0.145062339204433,0.8426013450487014,0.2736987927963586
