suite,bin,action,share,n,positive,success,reward,no_feasible
D03-I,1-10,A1,0.17878226503643324,7238,3352,0.463111356728378,2.133053327638123,0.0
D03-I,1-10,A2,0.2054094108929233,8316,3658,0.43987493987493986,2.5276711681403383,0.0
D03-I,1-10,A3,0.11792021736445597,4774,1295,0.27126099706744866,1.5153828761479096,0.0
D03-I,1-10,A4,0.0879091021365938,3559,1117,0.3138522056757516,1.039924273781374,0.192469794886204
D03-I,1-10,A5,0.05878720513770532,2380,501,0.21050420168067227,0.4307426854146375,0.4445378151260504
D03-I,1-10,A6,0.14064468321600593,5694,1673,0.2938180540920267,1.9016100889584922,0.0
D03-I,1-10,A7,0.14909225639125603,6036,2774,0.45957587806494365,2.2221637902203044,0.061298873426110005
D03-I,1-10,A8,0.0614548598246264,2488,453,0.18207395498392284,1.1103411602581614,0.2845659163987138
D03-I,11-20,A1,0.17427767354596624,9289,1732,0.186457099795457,0.6197403459778879,0.0
D03-I,11-20,A2,0.18196998123827393,9699,1792,0.18476131559954634,0.8217855810116806,0.0
D03-I,11-20,A3,0.12196998123827392,6501,549,0.0844485463774804,0.4042092212102964,0.0
D03-I,11-20,A4,0.09168855534709193,4887,803,0.1643134847554737,0.36714933019420065,0.1379169224473092
D03-I,11-20,A5,0.0675984990619137,3603,663,0.18401332223147376,0.19823314343478687,0.331112961421038
D03-I,11-20,A6,0.09339587242026266,4978,141,0.028324628364805142,0.16103683232412042,0.0
D03-I,11-20,A7,0.2196810506566604,11709,3693,0.31539841147834996,1.1161139702160847,0.06012469040908703
D03-I,11-20,A8,0.04941838649155722,2634,184,0.06985573272589218,0.05111481334566005,0.4381169324221716
D03-I,21-30,A1,0.1533918449442311,8389,846,0.10084634640600787,0.2931064248491143,0.0
D03-I,21-30,A2,0.1667763759371,9121,738,0.08091218068194277,0.2900186480154915,0.0
D03-I,21-30,A3,0.10828304991771805,5922,165,0.027862208713272545,0.11417098726811109,0.0
D03-I,21-30,A4,0.08511610897787529,4655,350,0.07518796992481203,0.09241296528363634,0.10483351235230934
D03-I,21-30,A5,0.05982812214298775,3272,364,0.11124694376528117,-0.05791763177182145,0.3147921760391198
D03-I,21-30,A6,0.09336258913878223,5106,21,0.004112808460634548,0.025319643547966585,0.0
D03-I,21-30,A7,0.2966904370085939,16226,3883,0.239307284604955,0.7897163160122372,0.04110686552446691
D03-I,21-30,A8,0.036551471932711646,1999,91,0.04552276138069034,-0.1930908293147398,0.4852426213106553
D03-I,31-40,A1,0.16377344265384977,8689,587,0.06755668086085856,0.16680718215071957,0.0
D03-I,31-40,A2,0.17434737536518707,9250,663,0.07167567567567568,0.2737473995563883,0.0
D03-I,31-40,A3,0.10786919234756386,5723,66,0.011532413070068146,0.029012907246969918,0.0
D03-I,31-40,A4,0.08425219112242013,4470,280,0.06263982102908278,0.0591045412757884,0.08076062639821029
D03-I,31-40,A5,0.047026670436339645,2495,185,0.07414829659318638,-0.05950595357348406,0.22444889779559118
D03-I,31-40,A6,0.09671096032419188,5131,11,0.0021438316117715845,0.011672064870619938,0.0
D03-I,31-40,A7,0.3006879653190086,15953,3440,0.215633423180593,0.616801185052834,0.035667272613301576
D03-I,31-40,A8,0.025332202431439074,1344,45,0.033482142857142856,-0.30676529638342015,0.5089285714285714
D03-I,41-50,A1,0.1820115356885364,10098,591,0.05852644087938206,0.15626107726752653,0.0
D03-I,41-50,A2,0.16791636625811104,9316,540,0.0579647917561185,0.2250442536188044,0.0
D03-I,41-50,A3,0.10328046142754145,5730,41,0.0071553228621291445,0.016873711384819207,0.0
D03-I,41-50,A4,0.0803352559480894,4457,180,0.04038590980480144,0.040447529073875145,0.04868745793134396
