suite,condition,n,share,runs,instances
D03-I,Normal,5857,0.022788996537099725,8,4
D03-I,Resource,34474,0.13413485856581456,12,4
D03-I,KV,4531,0.01762966421540018,6,2
D03-I,Region,119862,0.4663709583284697,36,12
D03-I,TOU,33400,0.12995603283918913,6,2
D03-I,Demand,45364,0.1765067507100891,26,9
D03-I,Compressible,13522,0.05261273880393759,18,6
D03-II,Normal,0,0.0,0,0
D03-II,Resource,0,0.0,0,0
D03-II,KV,0,0.0,0,0
D03-II,Region,16298,0.17146764860599684,15,5
D03-II,TOU,78215,0.8228826933193056,15,5
D03-II,Demand,532,0.005597054182009469,14,5
D03-II,Compressible,5,5.2603892688058915e-05,1,1
