suite,condition,action,selection,n,positive,success,reward,no_feasible
D03-I,Compressible,A1,0.12616476852536607,1706,149,0.0873388042203986,0.38642488421568494,0.0
D03-I,Compressible,A2,0.1692796923532022,2289,527,0.23023154215814767,1.5545158766594673,0.0
D03-I,Compressible,A3,0.13141547108415916,1777,214,0.12042768711311198,0.855092993387179,0.0
D03-I,Compressible,A4,0.029729329980772073,402,0,0.0,-0.9154228855721394,0.9154228855721394
D03-I,Compressible,A5,0.030320958438100874,410,0,0.0,-1.0,1.0
D03-I,Compressible,A6,0.12838337524034907,1736,190,0.10944700460829493,0.8703911758180611,0.0
D03-I,Compressible,A7,0.316743085342405,4283,1226,0.2862479570394583,1.3908196116568543,0.0
D03-I,Compressible,A8,0.06796331903564562,919,67,0.07290533188248095,0.5213407365270157,0.08487486398258977
D03-I,Demand,A1,0.19158363460012345,8691,1659,0.19088712461166724,0.45004915398007245,0.0
D03-I,Demand,A2,0.1931487523146107,8762,1765,0.2014380278475234,0.8612498144664784,0.0
D03-I,Demand,A3,0.14291067807071686,6483,710,0.10951719882770322,0.4393981340016075,0.0
D03-I,Demand,A4,0.0915483643417688,4153,794,0.1911870936672285,0.25705038390947466,0.12569227064772454
D03-I,Demand,A5,0.06260470857949034,2840,317,0.11161971830985916,-0.007134776981597433,0.21654929577464788
D03-I,Demand,A6,0.1231593333921171,5587,518,0.09271523178807947,0.5975761130912391,0.0
D03-I,Demand,A7,0.16129530023807426,7317,1232,0.16837501708350416,0.6625810591834155,0.1109744430777641
D03-I,Demand,A8,0.03374922846309849,1531,128,0.08360548661005879,0.07752365036004912,0.38275636838667537
D03-I,KV,A1,0.07746634297064665,351,94,0.2678062678062678,1.6066686560685697,0.0
D03-I,KV,A2,0.1856102405649967,841,354,0.42092746730083236,2.922737128297132,0.0
D03-I,KV,A3,0.0845288015890532,383,48,0.12532637075718014,0.5604188561349627,0.0
D03-I,KV,A4,0.03531229309203266,160,0,0.0,-0.84375,0.84375
D03-I,KV,A5,0.03619510041933348,164,0,0.0,-1.0,1.0
D03-I,KV,A6,0.07879055396159788,357,85,0.23809523809523808,1.7340242915425264,0.0
D03-I,KV,A7,0.3990289119399691,1808,696,0.38495575221238937,2.5107666165535316,0.0
D03-I,KV,A8,0.10306775546237033,467,146,0.31263383297644537,2.3534488270721203,0.1734475374732334
D03-I,Normal,A1,0.1056855045245006,619,55,0.0888529886914378,0.1370372895262421,0.0
D03-I,Normal,A2,0.08895338910705139,521,60,0.11516314779270634,0.16258389811267335,0.0
D03-I,Normal,A3,0.09919754140344886,581,45,0.0774526678141136,0.1933459664465133,0.0
D03-I,Normal,A4,0.07887997268226055,462,35,0.07575757575757576,0.048975160985075795,0.08225108225108226
D03-I,Normal,A5,0.0570257811166126,334,20,0.059880239520958084,-0.042487240044951004,0.20958083832335328
D03-I,Normal,A6,0.05087928973877412,298,0,0.0,0.0,0.0
D03-I,Normal,A7,0.4953047635308178,2901,733,0.2526714925887625,0.7631691185245243,0.015167183729748363
D03-I,Normal,A8,0.024073757896534063,141,7,0.04964539007092199,-0.2420914393045423,0.624113475177305
D03-I,Region,A1,0.16412207371810916,19672,2555,0.1298800325335502,0.5093156346226624,0.0
D03-I,Region,A2,0.19232951227244666,23053,3006,0.13039517633279835,0.686529591024399,0.0
D03-I,Region,A3,0.10489562997447065,12573,388,0.030859778891274954,0.165024866128745,0.0
D03-I,Region,A4,0.0806677679331231,9669,909,0.09401179025752404,0.16271580371824704,0.13145102906195055
D03-I,Region,A5,0.03654202332682585,4380,354,0.08082191780821918,-0.32614686102576457,0.5105022831050229
D03-I,Region,A6,0.1075486809831306,12891,727,0.056395935148553254,0.32399408397862367,0.0
D03-I,Region,A7,0.2796549365103202,33520,7287,0.21739260143198091,0.7890865381645004,0.019928400954653938
D03-I,Region,A8,0.03423937528157381,4104,270,0.06578947368421052,0.05002434869203005,0.42422027290448344
D03-I,Resource,A1,0.18695248593142658,6445,1601,0.24840961986035687,0.9215884877566777,0.0
D03-I,Resource,A2,0.14373150780298197,4955,1104,0.22280524722502523,0.8070057125689059,0.0
D03-I,Resource,A3,0.09296861402796311,3205,409,0.12761310452418095,0.6992716062479695,0.0
D03-I,Resource,A4,0.12055462087370192,4156,761,0.1831087584215592,0.741765057062043,0.0
D03-I,Resource,A5,0.15649474966641527,5395,1197,0.22187210379981465,0.766811424939075,0.0007414272474513438
D03-I,Resource,A6,0.06184370830190868,2132,166,0.07786116322701689,0.5530092302832844,0.0
