scenario,run_id,relative_path,sha256,population,region_0_only,uses_0_1_only,uses_0_2_only,uses_all_three,other_sets
Normal,type_i_D03I_Normal_soft_j50_i7101_a101_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Normal_soft_j50_i7101_a101_g50/population.json,f56239585aeaa8c9f798fad56444b6d90697705bc1cb099900f64a41ec3b7d02,100,0,0,0,100,0
Normal,type_i_D03I_Normal_soft_j50_i7101_a202_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Normal_soft_j50_i7101_a202_g50/population.json,863ca3cde2413cf5ac1c3a851e78d7b6da2dfe4f544aed653088674634ccdb42,100,0,0,0,100,0
Normal,type_i_D03I_Normal_soft_j50_i7101_a303_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Normal_soft_j50_i7101_a303_g50/population.json,a1c4fb4e49a3ba6c676bc8f954239ffbbee71d4deb8df31aa95230a7fdb59030,100,0,0,0,100,0
Normal,type_i_D03I_Normal_soft_j50_i7102_a101_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Normal_soft_j50_i7102_a101_g50/population.json,43ac343e78317cec549b19c69b8e7e04defbb6135b80ed1840a99a28403f87cd,100,0,0,0,100,0
Normal,type_i_D03I_Normal_soft_j50_i7102_a202_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Normal_soft_j50_i7102_a202_g50/population.json,73d5a4eb914ed349df15d30ef9468653ac8ba4806c531dbe439033e88a2e4a79,100,0,0,0,100,0
Normal,type_i_D03I_Normal_soft_j50_i7102_a303_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Normal_soft_j50_i7102_a303_g50/population.json,3cccd23881761f1c7ce6e867444699affc715d775a18d2797c854c2dd4fb8261,100,0,0,0,100,0
Resource,type_i_D03I_Resource_moderate_j50_i7101_a101_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Resource_moderate_j50_i7101_a101_g50/population.json,2d1f3eab5563d007708ca7975239d29795104eb0850c6756d1873839e34f1115,100,0,0,0,100,0
Resource,type_i_D03I_Resource_moderate_j50_i7101_a202_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Resource_moderate_j50_i7101_a202_g50/population.json,6b2366c3200059ee4e555b9b6178079b86fdd03b1731195076a2663a6c2505ae,100,0,0,0,100,0
Resource,type_i_D03I_Resource_moderate_j50_i7101_a303_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Resource_moderate_j50_i7101_a303_g50/population.json,5df500f8dcd3879324b6291e709fa620967194d6ba20716d94fb5070c661a1fc,100,0,0,0,100,0
Resource,type_i_D03I_Resource_moderate_j50_i7102_a101_g50,outputs/diagnostics/d03_v2/runs/type_i/runs/type_i_D03I_Resource_moderate_j50_i7102_a101_g50/population.json,c78b8289427b1ed48b889d7911eacb58a2d0a58c7a47404d34ce79413b9edf1c,100,0,0,0,100,0
