suite,condition,action,n,positive_share,mean_reward,zero_feasible_share,zero_proposal_share,accepted_share,accepted_n,accepted_bill_decrease_share,accepted_flow_decrease_share,accepted_flow_increase_share,accepted_mean_delta_flow,accepted_mean_delta_bill
D03-I,Compressible,A1,1706,0.0873388042203986,0.38642488421568494,0.0,0.0,0.0873388042203986,149,0.9060402684563759,0.15436241610738255,0.5637583892617449,51.61073825503356,-1.8059060402684592
D03-I,Compressible,A2,2289,0.23023154215814767,1.5545158766594673,0.0,0.0,0.23023154215814767,527,0.7817836812144212,0.6963946869070209,0.03415559772296015,-171.84535104364326,-3.3229222011385215
D03-I,Compressible,A3,1777,0.12042768711311198,0.855092993387179,0.0,0.0,0.12042768711311198,214,0.9626168224299065,0.102803738317757,0.09345794392523364,9.813084112149532,-4.652056074766355
D03-I,Compressible,A4,402,0.0,-0.9154228855721394,0.9154228855721394,0.9154228855721394,0.0,0,,,,,
D03-I,Compressible,A5,410,0.0,-1.0,1.0,1.0,0.0,0,,,,,
D03-I,Compressible,A6,1736,0.10944700460829493,0.8703911758180611,0.0,0.0,0.10944700460829493,190,0.9789473684210527,0.1736842105263158,0.48947368421052634,95.07894736842105,-8.129684210526317
D03-I,Compressible,A7,4283,0.2862479570394583,1.3908196116568543,0.0,0.0,0.2862479570394583,1226,0.9991843393148451,0.0016313213703099511,0.9951060358890701,101.4274061990212,-2.3669168026101115
D03-I,Compressible,A8,919,0.07290533188248095,0.5213407365270157,0.08487486398258977,0.08487486398258977,0.07290533188248095,67,1.0,0.014925373134328358,0.9701492537313433,476.86567164179104,-7.967164179104482
D03-I,Demand,A1,8691,0.19088712461166724,0.45004915398007245,0.0,0.0,0.19088712461166724,1659,0.8553345388788427,0.6196503918022905,0.26883664858348405,-143.25497287522603,-1.5183453887884228
D03-I,Demand,A2,8762,0.2014380278475234,0.8612498144664784,0.0,0.0,0.2014380278475234,1765,0.8079320113314448,0.715014164305949,0.115014164305949,-112.6827195467422,-3.7715977337110527
D03-I,Demand,A3,6483,0.10951719882770322,0.4393981340016075,0.0,0.0,0.10951719882770322,710,0.9408450704225352,0.3295774647887324,0.223943661971831,-77.47887323943662,-5.397816901408461
D03-I,Demand,A4,4153,0.1911870936672285,0.25705038390947466,0.12569227064772454,0.12569227064772454,0.1911870936672285,794,0.8312342569269522,0.6083123425692695,0.33123425692695213,-79.94962216624685,-3.260856423173797
D03-I,Demand,A5,2840,0.11161971830985916,-0.007134776981597433,0.21654929577464788,0.21654929577464788,0.11161971830985916,317,0.722397476340694,0.6214511041009464,0.29652996845425866,-52.80757097791798,-0.7048580441640437
D03-I,Demand,A6,5587,0.09271523178807947,0.5975761130912391,0.0,0.0,0.09271523178807947,518,0.9227799227799228,0.3667953667953668,0.4768339768339768,60.704633204633204,-22.935646718146707
D03-I,Demand,A7,7317,0.16837501708350416,0.6625810591834155,0.1109744430777641,0.1109744430777641,0.16837501708350416,1232,1.0,0.0016233766233766235,0.7410714285714286,147.99107142857142,-8.034813311688307
D03-I,Demand,A8,1531,0.08360548661005879,0.07752365036004912,0.38275636838667537,0.38275636838667537,0.08360548661005879,128,1.0,0.0078125,0.703125,950.15625,-37.99652343749997
D03-I,KV,A1,351,0.2678062678062678,1.6066686560685697,0.0,0.0,0.2678062678062678,94,0.8085106382978723,0.3723404255319149,0.5,117.76595744680851,-2.765106382978726
D03-I,KV,A2,841,0.42092746730083236,2.922737128297132,0.0,0.0,0.42092746730083236,354,0.6242937853107344,0.9463276836158192,0.0,-897.457627118644,-1.6511864406779664
D03-I,KV,A3,383,0.12532637075718014,0.5604188561349627,0.0,0.0,0.12532637075718014,48,0.875,0.2916666666666667,0.22916666666666666,-38.125,-2.0574999999999988
D03-I,KV,A4,160,0.0,-0.84375,0.84375,0.84375,0.0,0,,,,,
D03-I,KV,A5,164,0.0,-1.0,1.0,1.0,0.0,0,,,,,
D03-I,KV,A6,357,0.23809523809523808,1.7340242915425264,0.0,0.0,0.23809523809523808,85,0.8352941176470589,0.5294117647058824,0.4117647058823529,160.41176470588235,-5.556705882352943
D03-I,KV,A7,1808,0.38495575221238937,2.5107666165535316,0.0,0.0,0.38495575221238937,696,1.0,0.0028735632183908046,0.9741379310344828,305.51724137931035,-3.7146551724137953
D03-I,KV,A8,467,0.31263383297644537,2.3534488270721203,0.1734475374732334,0.1734475374732334,0.31263383297644537,146,1.0,0.00684931506849315,0.9931506849315068,1249.9058219178082,-5.951986301369868
D03-I,Normal,A1,619,0.0888529886914378,0.1370372895262421,0.0,0.0,0.0888529886914378,55,0.8181818181818182,0.5272727272727272,0.41818181818181815,-79.63636363636364,-0.9032727272727822
