suite,period,action,n,total,selection_share,explore_share_within_action,greedy_count,mean_reward_when_selected
D03-I,first10,A1,7238,40485,0.17878226503643324,0.195357833655706,5824,2.133053327638123
D03-I,first10,A2,8316,40485,0.2054094108929233,0.1768879268879269,6845,2.5276711681403383
D03-I,first10,A3,4774,40485,0.11792021736445597,0.2821533305404273,3427,1.5153828761479096
D03-I,first10,A4,3559,40485,0.0879091021365938,0.3981455465018264,2142,1.039924273781374
D03-I,first10,A5,2380,40485,0.05878720513770532,0.5726890756302521,1017,0.4307426854146375
D03-I,first10,A6,5694,40485,0.14064468321600593,0.2644889357218124,4188,1.9016100889584922
D03-I,first10,A7,6036,40485,0.14909225639125603,0.2415506958250497,4578,2.2221637902203044
D03-I,first10,A8,2488,40485,0.0614548598246264,0.4694533762057878,1320,1.1103411602581614
D03-I,last10,A1,10098,55480,0.1820115356885364,0.05605070310952664,9532,0.15626107726752653
D03-I,last10,A2,9316,55480,0.16791636625811104,0.051524259338772006,8836,0.2250442536188044
D03-I,last10,A3,5730,55480,0.10328046142754145,0.10471204188481675,5130,0.016873711384819207
D03-I,last10,A4,4457,55480,0.0803352559480894,0.11263181512227956,3955,0.040447529073875145
D03-I,last10,A5,2589,55480,0.04666546503244413,0.19389725762842797,2087,-0.008395488308057477
D03-I,last10,A6,5273,55480,0.09504325883201153,0.09975346102787787,4747,0.00940688342999783
D03-I,last10,A7,17233,55480,0.31061643835616437,0.031799454534903966,16685,0.5835723844903595
D03-I,last10,A8,784,55480,0.014131218457101658,0.5497448979591837,353,-0.3579349178517135
D03-II,first10,A1,2459,15765,0.15597843323818586,0.22326148840992274,1910,2.1868717665453556
D03-II,first10,A2,3328,15765,0.21110053916904536,0.17097355769230768,2759,2.6676285828047743
D03-II,first10,A3,1821,15765,0.11550903901046622,0.2932454695222405,1287,1.5648134406577392
D03-II,first10,A4,1323,15765,0.08392007611798287,0.41572184429327286,773,1.2578309452736138
D03-II,first10,A5,612,15765,0.038820171265461466,0.8545751633986928,89,-0.5283205961681847
D03-II,first10,A6,1668,15765,0.10580399619410086,0.35731414868105515,1072,1.9609646881395568
D03-II,first10,A7,3170,15765,0.20107833809070727,0.17949526813880126,2601,2.3090209478075185
D03-II,first10,A8,1384,15765,0.08778940691405011,0.3374277456647399,917,1.942608716153546
D03-II,last10,A1,2069,21285,0.09720460418134837,0.11019816336394393,1841,0.17228112199682738
D03-II,last10,A2,2757,21285,0.1295278365045807,0.07580703663402248,2548,0.28206369122489977
D03-II,last10,A3,1811,21285,0.08508339206013625,0.13418001104362232,1568,0.13957634108561146
D03-II,last10,A4,1493,21285,0.07014329339910735,0.115874079035499,1320,0.1407672177635242
D03-II,last10,A5,244,21285,0.011463471928588207,0.7991803278688525,49,-0.7814574320811396
D03-II,last10,A6,1044,21285,0.04904862579281184,0.18295019157088122,853,0.004438481380711204
D03-II,last10,A7,11465,21285,0.538642236316655,0.020148277365896205,11234,0.6142794034691826
D03-II,last10,A8,402,21285,0.018886539816772376,0.44527363184079605,223,-0.03954755774338121
