suite,scenario,period,condition,n,total,share
D03-I,D03I_Compressible,first10,Normal,0,5045,0.0
D03-I,D03I_Compressible,first10,Resource,0,5045,0.0
D03-I,D03I_Compressible,first10,KV,0,5045,0.0
D03-I,D03I_Compressible,first10,Region,1284,5045,0.25450941526263626
D03-I,D03I_Compressible,first10,TOU,0,5045,0.0
D03-I,D03I_Compressible,first10,Demand,3566,5045,0.7068384539147671
D03-I,D03I_Compressible,first10,Compressible,195,5045,0.03865213082259663
D03-I,D03I_Compressible,last10,Normal,0,7565,0.0
D03-I,D03I_Compressible,last10,Resource,0,7565,0.0
D03-I,D03I_Compressible,last10,KV,0,7565,0.0
D03-I,D03I_Compressible,last10,Region,3997,7565,0.528354263053536
D03-I,D03I_Compressible,last10,TOU,0,7565,0.0
D03-I,D03I_Compressible,last10,Demand,3568,7565,0.471645736946464
D03-I,D03I_Compressible,last10,Compressible,0,7565,0.0
D03-I,D03I_Demand,first10,Normal,4,6200,0.0006451612903225806
D03-I,D03I_Demand,first10,Resource,652,6200,0.10516129032258065
D03-I,D03I_Demand,first10,KV,0,6200,0.0
D03-I,D03I_Demand,first10,Region,1643,6200,0.265
D03-I,D03I_Demand,first10,TOU,0,6200,0.0
D03-I,D03I_Demand,first10,Demand,3901,6200,0.6291935483870967
D03-I,D03I_Demand,first10,Compressible,0,6200,0.0
D03-I,D03I_Demand,last10,Normal,701,7365,0.09517990495587236
D03-I,D03I_Demand,last10,Resource,162,7365,0.021995926680244398
D03-I,D03I_Demand,last10,KV,0,7365,0.0
D03-I,D03I_Demand,last10,Region,2069,7365,0.2809232858112695
D03-I,D03I_Demand,last10,TOU,0,7365,0.0
D03-I,D03I_Demand,last10,Demand,4433,7365,0.6019008825526138
D03-I,D03I_Demand,last10,Compressible,0,7365,0.0
D03-I,D03I_KV,first10,Normal,0,5050,0.0
D03-I,D03I_KV,first10,Resource,0,5050,0.0
D03-I,D03I_KV,first10,KV,1814,5050,0.3592079207920792
D03-I,D03I_KV,first10,Region,1734,5050,0.3433663366336634
D03-I,D03I_KV,first10,TOU,0,5050,0.0
D03-I,D03I_KV,first10,Demand,288,5050,0.05702970297029703
D03-I,D03I_KV,first10,Compressible,1214,5050,0.2403960396039604
D03-I,D03I_KV,last10,Normal,1478,5455,0.2709440879926673
D03-I,D03I_KV,last10,Resource,0,5455,0.0
D03-I,D03I_KV,last10,KV,380,5455,0.06966086159486709
D03-I,D03I_KV,last10,Region,2304,5455,0.4223648029330889
D03-I,D03I_KV,last10,TOU,0,5455,0.0
D03-I,D03I_KV,last10,Demand,652,5455,0.11952337305224564
D03-I,D03I_KV,last10,Compressible,641,5455,0.11750687442713108
D03-I,D03I_Normal,first10,Normal,0,5510,0.0
D03-I,D03I_Normal,first10,Resource,0,5510,0.0
D03-I,D03I_Normal,first10,KV,0,5510,0.0
D03-I,D03I_Normal,first10,Region,1809,5510,0.32831215970961886
D03-I,D03I_Normal,first10,TOU,0,5510,0.0
D03-I,D03I_Normal,first10,Demand,3,5510,0.000544464609800363
D03-I,D03I_Normal,first10,Compressible,3698,5510,0.6711433756805808
D03-I,D03I_Normal,last10,Normal,0,5800,0.0
D03-I,D03I_Normal,last10,Resource,0,5800,0.0
D03-I,D03I_Normal,last10,KV,0,5800,0.0
D03-I,D03I_Normal,last10,Region,5149,5800,0.8877586206896552
D03-I,D03I_Normal,last10,TOU,0,5800,0.0
D03-I,D03I_Normal,last10,Demand,0,5800,0.0
D03-I,D03I_Normal,last10,Compressible,651,5800,0.11224137931034482
D03-I,D03I_Region,first10,Normal,0,8045,0.0
