suite,scenario,instance,jobs,release_max,release_gt_3600_share
D03-I,D03I_Normal,jobs50_seed7101,50,6960.0,0.56
D03-I,D03I_Normal,jobs50_seed7102,50,7200.0,0.5
D03-I,D03I_Resource,jobs50_seed7101,50,870.0,0.0
D03-I,D03I_Resource,jobs50_seed7102,50,870.0,0.0
D03-I,D03I_KV,jobs50_seed7101,50,3420.0,0.0
D03-I,D03I_KV,jobs50_seed7102,50,3540.0,0.0
D03-I,D03I_Region,jobs50_seed7101,50,3000.0,0.0
D03-I,D03I_Region,jobs50_seed7102,50,2940.0,0.0
D03-I,D03I_TOU,jobs50_seed7101,50,1740.0,0.0
D03-I,D03I_TOU,jobs50_seed7102,50,1800.0,0.0
D03-I,D03I_Demand,jobs50_seed7101,50,120.0,0.0
D03-I,D03I_Demand,jobs50_seed7102,50,120.0,0.0
D03-I,D03I_Compressible,jobs50_seed7101,50,10680.0,0.72
D03-I,D03I_Compressible,jobs50_seed7102,50,10680.0,0.66
D03-II,D03II_long,jobs50_seed8101,50,7020.0,0.42
D03-II,D03II_long,jobs50_seed8102,50,7800.0,0.32
D03-II,D03II_long,jobs50_seed8103,50,7560.0,0.48
D03-II,D03II_long,jobs50_seed8104,50,7800.0,0.44
D03-II,D03II_long,jobs50_seed8105,50,7800.0,0.44
