suite,scenario,run_id,n,target,target_share,distinct_conditions
D03-I,D03I_Compressible,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,6205,Compressible,0.0016116035455278,3
D03-I,D03I_Compressible,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,5105,Compressible,0.0005876591576885406,3
D03-I,D03I_Compressible,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,5120,Compressible,0.00234375,3
D03-I,D03I_Compressible,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,6535,Compressible,0.009487375669472074,3
D03-I,D03I_Compressible,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,6130,Compressible,0.010440456769983687,3
D03-I,D03I_Compressible,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,6370,Compressible,0.006907378335949764,3
D03-I,D03I_Demand,type_i_D03I_Demand_strong_j50_i7101_a101_g50,5875,Demand,0.6748936170212766,4
D03-I,D03I_Demand,type_i_D03I_Demand_strong_j50_i7101_a202_g50,5165,Demand,0.2884801548886738,3
D03-I,D03I_Demand,type_i_D03I_Demand_strong_j50_i7101_a303_g50,5245,Demand,0.7361296472831268,4
D03-I,D03I_Demand,type_i_D03I_Demand_strong_j50_i7102_a101_g50,5900,Demand,0.6642372881355932,4
D03-I,D03I_Demand,type_i_D03I_Demand_strong_j50_i7102_a202_g50,7205,Demand,0.6860513532269258,4
D03-I,D03I_Demand,type_i_D03I_Demand_strong_j50_i7102_a303_g50,5670,Demand,0.49417989417989416,4
D03-I,D03I_KV,type_i_D03I_KV_moderate_j50_i7101_a101_g50,4715,KV,0.10965005302226935,4
D03-I,D03I_KV,type_i_D03I_KV_moderate_j50_i7101_a202_g50,4195,KV,0.08867699642431466,5
D03-I,D03I_KV,type_i_D03I_KV_moderate_j50_i7101_a303_g50,4395,KV,0.6932878270762229,5
D03-I,D03I_KV,type_i_D03I_KV_moderate_j50_i7102_a101_g50,6070,KV,0.04843492586490939,4
D03-I,D03I_KV,type_i_D03I_KV_moderate_j50_i7102_a202_g50,1925,KV,0.13506493506493505,4
D03-I,D03I_KV,type_i_D03I_KV_moderate_j50_i7102_a303_g50,6145,KV,0.006672091131000813,5
D03-I,D03I_Normal,type_i_D03I_Normal_soft_j50_i7101_a101_g50,5260,Normal,0.0,2
D03-I,D03I_Normal,type_i_D03I_Normal_soft_j50_i7101_a202_g50,4410,Normal,0.0,2
