suite,generation,condition,n,total,share
D03-I,1,Normal,0,4835,0.0
D03-I,1,Resource,681,4835,0.1408479834539814
D03-I,1,KV,300,4835,0.06204756980351603
D03-I,1,Region,949,4835,0.19627714581178904
D03-I,1,TOU,507,4835,0.10486039296794208
D03-I,1,Demand,1280,4835,0.2647362978283351
D03-I,1,Compressible,1118,4835,0.2312306101344364
D03-I,2,Normal,0,4015,0.0
D03-I,2,Resource,434,4015,0.10809464508094645
D03-I,2,KV,235,4015,0.058530510585305104
D03-I,2,Region,1252,4015,0.31183063511830633
D03-I,2,TOU,374,4015,0.09315068493150686
D03-I,2,Demand,1019,4015,0.25379825653798255
D03-I,2,Compressible,701,4015,0.1745952677459527
D03-I,3,Normal,0,3575,0.0
D03-I,3,Resource,485,3575,0.13566433566433567
D03-I,3,KV,205,3575,0.057342657342657345
D03-I,3,Region,1268,3575,0.35468531468531467
D03-I,3,TOU,362,3575,0.10125874125874126
D03-I,3,Demand,736,3575,0.20587412587412587
D03-I,3,Compressible,519,3575,0.14517482517482516
D03-I,4,Normal,0,3545,0.0
D03-I,4,Resource,572,3545,0.1613540197461213
D03-I,4,KV,169,3545,0.04767277856135402
D03-I,4,Region,1492,3545,0.42087447108603665
D03-I,4,TOU,296,3545,0.08349788434414669
D03-I,4,Demand,658,3545,0.1856135401974612
D03-I,4,Compressible,358,3545,0.10098730606488011
D03-I,5,Normal,2,3970,0.0005037783375314861
D03-I,5,Resource,565,3970,0.14231738035264482
D03-I,5,KV,179,3970,0.04508816120906801
D03-I,5,Region,1740,3970,0.43828715365239296
D03-I,5,TOU,364,3970,0.09168765743073048
D03-I,5,Demand,755,3970,0.190176322418136
D03-I,5,Compressible,365,3970,0.09193954659949623
D03-I,6,Normal,2,4060,0.0004926108374384236
D03-I,6,Resource,632,4060,0.15566502463054188
D03-I,6,KV,154,4060,0.03793103448275862
D03-I,6,Region,1727,4060,0.4253694581280788
D03-I,6,TOU,511,4060,0.12586206896551724
D03-I,6,Demand,718,4060,0.1768472906403941
D03-I,6,Compressible,316,4060,0.07783251231527094
D03-I,7,Normal,0,3975,0.0
D03-I,7,Resource,736,3975,0.1851572327044025
D03-I,7,KV,207,3975,0.052075471698113204
D03-I,7,Region,1496,3975,0.3763522012578616
D03-I,7,TOU,478,3975,0.12025157232704403
D03-I,7,Demand,726,3975,0.18264150943396226
D03-I,7,Compressible,332,3975,0.08352201257861636
D03-I,8,Normal,0,3650,0.0
D03-I,8,Resource,617,3650,0.16904109589041097
D03-I,8,KV,132,3650,0.03616438356164384
D03-I,8,Region,1348,3650,0.3693150684931507
D03-I,8,TOU,426,3650,0.11671232876712329
D03-I,8,Demand,720,3650,0.19726027397260273
D03-I,8,Compressible,407,3650,0.11150684931506849
D03-I,9,Normal,0,4060,0.0
D03-I,9,Resource,695,4060,0.17118226600985223
D03-I,9,KV,130,4060,0.03201970443349754
D03-I,9,Region,1553,4060,0.382512315270936
D03-I,9,TOU,475,4060,0.11699507389162561
D03-I,9,Demand,737,4060,0.18152709359605912
D03-I,9,Compressible,470,4060,0.11576354679802955
D03-I,10,Normal,0,4800,0.0
D03-I,10,Resource,790,4800,0.16458333333333333
D03-I,10,KV,103,4800,0.021458333333333333
D03-I,10,Region,1956,4800,0.4075
D03-I,10,TOU,540,4800,0.1125
D03-I,10,Demand,890,4800,0.18541666666666667
D03-I,10,Compressible,521,4800,0.10854166666666666
D03-I,11,Normal,0,4620,0.0
D03-I,11,Resource,708,4620,0.15324675324675324
D03-I,11,KV,110,4620,0.023809523809523808
D03-I,11,Region,1998,4620,0.43246753246753245
D03-I,11,TOU,585,4620,0.1266233766233766
D03-I,11,Demand,788,4620,0.17056277056277055
D03-I,11,Compressible,431,4620,0.09329004329004328
D03-I,12,Normal,19,5115,0.0037145650048875855
D03-I,12,Resource,803,5115,0.15698924731182795
D03-I,12,KV,139,5115,0.027174975562072337
D03-I,12,Region,2270,5115,0.44379276637341153
D03-I,12,TOU,558,5115,0.10909090909090909
D03-I,12,Demand,848,5115,0.16578690127077225
D03-I,12,Compressible,478,5115,0.09345063538611925
D03-I,13,Normal,47,5285,0.008893093661305583
D03-I,13,Resource,704,5285,0.13320719016083254
D03-I,13,KV,95,5285,0.017975402081362345
D03-I,13,Region,2361,5285,0.4467360454115421
D03-I,13,TOU,670,5285,0.12677388836329234
D03-I,13,Demand,894,5285,0.16915799432355724
