suite,run,distinct,effective_10,modal_switches,start,end
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,3,3,1,Demand,Region
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,3,2,5,Demand,Region
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,3,3,1,Demand,Region
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,3,3,2,Demand,Demand
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,3,3,0,Demand,Demand
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,3,3,1,Demand,Region
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,4,4,2,Demand,Demand
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,3,3,3,Demand,Region
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,4,4,0,Demand,Demand
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,4,4,0,Demand,Demand
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,4,4,4,Demand,Demand
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,4,4,17,Demand,Region
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,4,4,3,KV,Region
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,5,5,14,Compressible,Compressible
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,5,5,2,KV,KV
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,4,4,6,KV,Region
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,4,4,4,Compressible,Region
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,5,5,8,Compressible,Normal
D03-I,type_i_D03I_Normal_soft_j50_i7101_a101_g50,2,2,2,Compressible,Compressible
D03-I,type_i_D03I_Normal_soft_j50_i7101_a202_g50,2,2,7,Compressible,Region
D03-I,type_i_D03I_Normal_soft_j50_i7101_a303_g50,2,2,3,Compressible,Region
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,3,2,3,Compressible,Region
D03-I,type_i_D03I_Normal_soft_j50_i7102_a202_g50,2,2,9,Compressible,Region
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,3,2,1,Compressible,Region
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,2,2,1,Demand,Region
D03-I,type_i_D03I_Region_soft_j50_i7101_a202_g50,2,2,0,Region,Region
D03-I,type_i_D03I_Region_soft_j50_i7101_a303_g50,2,2,0,Region,Region
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,2,2,0,Region,Region
D03-I,type_i_D03I_Region_soft_j50_i7102_a202_g50,2,2,0,Region,Region
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,2,2,0,Region,Region
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a101_g50,1,1,0,Resource,Resource
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a202_g50,1,1,0,Resource,Resource
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a303_g50,1,1,0,Resource,Resource
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a101_g50,1,1,0,Resource,Resource
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a202_g50,1,1,0,Resource,Resource
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a303_g50,1,1,0,Resource,Resource
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,2,2,4,TOU,TOU
D03-I,type_i_D03I_TOU_soft_j50_i7101_a202_g50,2,2,0,TOU,TOU
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,2,2,2,TOU,TOU
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,2,2,0,TOU,TOU
D03-I,type_i_D03I_TOU_soft_j50_i7102_a202_g50,2,2,7,TOU,Region
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,2,2,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,3,3,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,3,3,3,TOU,Region
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,2,2,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,3,3,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,3,3,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,3,3,2,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,3,2,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,3,2,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,4,2,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,3,2,5,TOU,Region
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,3,2,4,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,3,2,4,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,3,3,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,3,3,0,TOU,TOU
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,3,3,0,TOU,TOU
