suite,state,runs,consensus,action,tied_runs
D03-I,0,8,0.375,A3,1
D03-I,1,8,0.375,A7,0
D03-I,2,6,0.5,A7,0
D03-I,3,6,0.5,A7,0
D03-I,4,4,0.5,A2,1
D03-I,5,1,1.0,A2,0
D03-I,6,34,0.4411764705882353,A7,0
D03-I,7,30,0.4666666666666667,A7,2
D03-I,8,6,0.3333333333333333,A7,0
D03-I,9,6,0.3333333333333333,A7,0
D03-I,10,25,0.32,A2,0
D03-I,11,20,0.2,A6,3
D03-I,12,18,0.3888888888888889,A2,0
D03-I,13,11,0.2727272727272727,A1,2
D03-I,14,3,0.6666666666666666,A7,1
D03-I,15,2,1.0,A7,0
D03-I,16,12,0.3333333333333333,A1,0
D03-I,17,11,0.2727272727272727,A2,0
D03-I,18,6,0.5,A7,0
D03-I,19,5,0.4,A7,0
D03-I,20,36,0.4166666666666667,A2,0
D03-I,21,33,0.30303030303030304,A1,1
D03-I,22,6,0.5,A3,0
D03-I,23,6,0.6666666666666666,A7,0
D03-I,24,19,0.2631578947368421,A7,2
D03-I,25,15,0.3333333333333333,A2,3
D03-I,26,16,0.4375,A2,0
D03-I,27,5,0.2,A7,0
D03-I,28,1,1.0,A7,0
D03-I,29,1,1.0,A8,0
D03-I,30,12,0.3333333333333333,A7,0
D03-I,31,10,0.5,A7,0
D03-I,32,6,0.5,A7,0
D03-I,33,5,0.2,A2,0
D03-I,34,35,0.2857142857142857,A2,1
D03-I,35,31,0.25806451612903225,A2,1
D03-I,36,6,0.3333333333333333,A1,0
D03-I,37,5,0.6,A2,0
D03-I,38,14,0.2857142857142857,A1,0
D03-I,39,10,0.4,A2,0
D03-I,40,10,0.3,A6,0
D03-I,41,3,0.6666666666666666,A7,0
D03-II,0,0,,,0
D03-II,1,0,,,0
D03-II,2,0,,,0
D03-II,3,0,,,0
D03-II,4,0,,,0
D03-II,5,0,,,0
D03-II,6,15,0.2,A7,1
D03-II,7,8,0.25,A3,0
D03-II,8,15,0.7333333333333333,A7,0
D03-II,9,15,0.3333333333333333,A7,0
D03-II,10,8,0.5,A1,0
D03-II,11,1,1.0,A1,0
D03-II,12,1,1.0,A4,0
D03-II,13,0,,,0
D03-II,14,0,,,0
D03-II,15,0,,,0
D03-II,16,0,,,0
D03-II,17,0,,,0
D03-II,18,0,,,0
D03-II,19,0,,,0
D03-II,20,15,0.4666666666666667,A7,0
D03-II,21,9,0.4444444444444444,A1,1
D03-II,22,15,0.5333333333333333,A7,0
D03-II,23,15,0.3333333333333333,A7,0
D03-II,24,14,0.21428571428571427,A6,0
D03-II,25,0,,,0
D03-II,26,0,,,0
D03-II,27,0,,,0
D03-II,28,0,,,0
D03-II,29,0,,,0
D03-II,30,0,,,0
D03-II,31,0,,,0
D03-II,32,0,,,0
D03-II,33,0,,,0
D03-II,34,15,0.4,A7,0
D03-II,35,9,0.6666666666666666,A7,0
D03-II,36,15,0.6666666666666666,A7,0
D03-II,37,15,0.5333333333333333,A7,0
D03-II,38,5,0.6,A8,1
D03-II,39,1,1.0,A7,0
D03-II,40,0,,,0
D03-II,41,0,,,0
