suite,scenario,condition,n,share
D03-I,D03I_Compressible,Normal,0,0.0
D03-I,D03I_Compressible,Resource,0,0.0
D03-I,D03I_Compressible,KV,0,0.0
D03-I,D03I_Compressible,Region,13552,0.3821232200761314
D03-I,D03I_Compressible,TOU,0,0.0
D03-I,D03I_Compressible,Demand,21718,0.6123784012406598
D03-I,D03I_Compressible,Compressible,195,0.005498378683208798
D03-I,D03I_Demand,Normal,2182,0.062236166571591554
D03-I,D03I_Demand,Resource,1889,0.05387906446092413
D03-I,D03I_Demand,KV,0,0.0
D03-I,D03I_Demand,Region,10009,0.28548203080433543
D03-I,D03I_Demand,TOU,0,0.0
D03-I,D03I_Demand,Demand,20980,0.5984027381631489
D03-I,D03I_Demand,Compressible,0,0.0
D03-I,D03I_KV,Normal,3675,0.13390417198032428
D03-I,D03I_KV,Resource,0,0.0
D03-I,D03I_KV,KV,4531,0.16509382401165967
D03-I,D03I_KV,Region,13113,0.4777919475314265
D03-I,D03I_KV,TOU,0,0.0
D03-I,D03I_KV,Demand,2169,0.07903078885042814
D03-I,D03I_KV,Compressible,3957,0.1441792676261614
D03-I,D03I_Normal,Normal,0,0.0
D03-I,D03I_Normal,Resource,0,0.0
D03-I,D03I_Normal,KV,0,0.0
D03-I,D03I_Normal,Region,22154,0.7025210084033613
D03-I,D03I_Normal,TOU,0,0.0
D03-I,D03I_Normal,Demand,11,0.0003488187727921357
D03-I,D03I_Normal,Compressible,9370,0.2971301728238465
D03-I,D03I_Region,Normal,0,0.0
D03-I,D03I_Region,Resource,0,0.0
D03-I,D03I_Region,KV,0,0.0
D03-I,D03I_Region,Region,53394,0.9909799554565701
D03-I,D03I_Region,TOU,0,0.0
D03-I,D03I_Region,Demand,486,0.009020044543429844
D03-I,D03I_Region,Compressible,0,0.0
D03-I,D03I_Resource,Normal,0,0.0
D03-I,D03I_Resource,Resource,32585,1.0
D03-I,D03I_Resource,KV,0,0.0
D03-I,D03I_Resource,Region,0,0.0
D03-I,D03I_Resource,TOU,0,0.0
D03-I,D03I_Resource,Demand,0,0.0
D03-I,D03I_Resource,Compressible,0,0.0
D03-I,D03I_TOU,Normal,0,0.0
D03-I,D03I_TOU,Resource,0,0.0
D03-I,D03I_TOU,KV,0,0.0
D03-I,D03I_TOU,Region,7640,0.1861598440545809
D03-I,D03I_TOU,TOU,33400,0.8138401559454191
D03-I,D03I_TOU,Demand,0,0.0
D03-I,D03I_TOU,Compressible,0,0.0
D03-II,D03II_long,Normal,0,0.0
D03-II,D03II_long,Resource,0,0.0
D03-II,D03II_long,KV,0,0.0
D03-II,D03II_long,Region,16298,0.17146764860599684
D03-II,D03II_long,TOU,78215,0.8228826933193056
D03-II,D03II_long,Demand,532,0.005597054182009469
D03-II,D03II_long,Compressible,5,5.2603892688058915e-05
