suite,state,preference,condition,progress,n,runs,instances
D03-I,0,Flow,Normal,Improving,1477,8,4
D03-I,1,Flow,Normal,Stagnating,3819,8,4
D03-I,2,Flow,Resource,Improving,5485,6,2
D03-I,3,Flow,Resource,Stagnating,7015,6,2
D03-I,4,Flow,KV,Improving,28,4,2
D03-I,5,Flow,KV,Stagnating,13,1,1
D03-I,6,Flow,Region,Improving,30305,34,12
D03-I,7,Flow,Region,Stagnating,24464,30,12
D03-I,8,Flow,TOU,Improving,8331,6,2
D03-I,9,Flow,TOU,Stagnating,8319,6,2
D03-I,10,Flow,Demand,Improving,17457,25,9
D03-I,11,Flow,Demand,Stagnating,13129,20,8
D03-I,12,Flow,Compressible,Improving,7557,18,6
D03-I,13,Flow,Compressible,Stagnating,3311,11,4
D03-I,14,Balanced,Normal,Improving,120,3,3
D03-I,15,Balanced,Normal,Stagnating,428,2,2
D03-I,16,Balanced,Resource,Improving,5900,12,4
D03-I,17,Balanced,Resource,Stagnating,4829,11,4
D03-I,18,Balanced,KV,Improving,1686,6,2
D03-I,19,Balanced,KV,Stagnating,827,5,2
D03-I,20,Balanced,Region,Improving,14198,36,12
D03-I,21,Balanced,Region,Stagnating,16349,33,12
D03-I,22,Balanced,TOU,Improving,4639,6,2
D03-I,23,Balanced,TOU,Stagnating,4283,6,2
D03-I,24,Balanced,Demand,Improving,5860,19,8
D03-I,25,Balanced,Demand,Stagnating,4694,15,6
D03-I,26,Balanced,Compressible,Improving,1192,16,6
D03-I,27,Balanced,Compressible,Stagnating,1050,5,3
D03-I,28,Electricity,Normal,Improving,8,1,1
D03-I,29,Electricity,Normal,Stagnating,5,1,1
D03-I,30,Electricity,Resource,Improving,5501,12,4
D03-I,31,Electricity,Resource,Stagnating,5744,10,4
D03-I,32,Electricity,KV,Improving,1554,6,2
D03-I,33,Electricity,KV,Stagnating,423,5,2
D03-I,34,Electricity,Region,Improving,14038,35,12
D03-I,35,Electricity,Region,Stagnating,20508,31,12
D03-I,36,Electricity,TOU,Improving,4100,6,2
D03-I,37,Electricity,TOU,Stagnating,3728,5,2
D03-I,38,Electricity,Demand,Improving,2187,14,6
D03-I,39,Electricity,Demand,Stagnating,2037,10,5
D03-I,40,Electricity,Compressible,Improving,352,10,4
D03-I,41,Electricity,Compressible,Stagnating,60,3,2
D03-II,0,Flow,Normal,Improving,0,0,0
D03-II,1,Flow,Normal,Stagnating,0,0,0
D03-II,2,Flow,Resource,Improving,0,0,0
D03-II,3,Flow,Resource,Stagnating,0,0,0
D03-II,4,Flow,KV,Improving,0,0,0
D03-II,5,Flow,KV,Stagnating,0,0,0
D03-II,6,Flow,Region,Improving,2698,15,5
D03-II,7,Flow,Region,Stagnating,2466,8,4
D03-II,8,Flow,TOU,Improving,16604,15,5
D03-II,9,Flow,TOU,Stagnating,12696,15,5
D03-II,10,Flow,Demand,Improving,288,8,4
D03-II,11,Flow,Demand,Stagnating,43,1,1
D03-II,12,Flow,Compressible,Improving,5,1,1
D03-II,13,Flow,Compressible,Stagnating,0,0,0
D03-II,14,Balanced,Normal,Improving,0,0,0
D03-II,15,Balanced,Normal,Stagnating,0,0,0
D03-II,16,Balanced,Resource,Improving,0,0,0
D03-II,17,Balanced,Resource,Stagnating,0,0,0
D03-II,18,Balanced,KV,Improving,0,0,0
D03-II,19,Balanced,KV,Stagnating,0,0,0
D03-II,20,Balanced,Region,Improving,5229,15,5
D03-II,21,Balanced,Region,Stagnating,1924,9,4
D03-II,22,Balanced,TOU,Improving,20731,15,5
D03-II,23,Balanced,TOU,Stagnating,12966,15,5
D03-II,24,Balanced,Demand,Improving,165,14,5
D03-II,25,Balanced,Demand,Stagnating,0,0,0
D03-II,26,Balanced,Compressible,Improving,0,0,0
D03-II,27,Balanced,Compressible,Stagnating,0,0,0
D03-II,28,Electricity,Normal,Improving,0,0,0
D03-II,29,Electricity,Normal,Stagnating,0,0,0
D03-II,30,Electricity,Resource,Improving,0,0,0
D03-II,31,Electricity,Resource,Stagnating,0,0,0
D03-II,32,Electricity,KV,Improving,0,0,0
D03-II,33,Electricity,KV,Stagnating,0,0,0
D03-II,34,Electricity,Region,Improving,2445,15,5
D03-II,35,Electricity,Region,Stagnating,1536,9,4
D03-II,36,Electricity,TOU,Improving,8896,15,5
D03-II,37,Electricity,TOU,Stagnating,6322,15,5
D03-II,38,Electricity,Demand,Improving,34,5,4
D03-II,39,Electricity,Demand,Stagnating,2,1,1
D03-II,40,Electricity,Compressible,Improving,0,0,0
D03-II,41,Electricity,Compressible,Stagnating,0,0,0
