suite,state,action,n,positive,success,reward,no_feasible
D03-I,0,A1,295,32,0.10847457627118644,0.12040314451121908,0.0
D03-I,0,A2,138,15,0.10869565217391304,0.13223749363889206,0.0
D03-I,0,A3,151,14,0.09271523178807947,0.2986461372859852,0.0
D03-I,0,A4,188,18,0.09574468085106383,0.07214104615073019,0.0425531914893617
D03-I,0,A5,79,4,0.05063291139240506,-0.23570604556871108,0.25316455696202533
D03-I,0,A6,70,0,0.0,0.0,0.0
D03-I,0,A7,521,139,0.2667946257197697,1.0035133550515154,0.04222648752399232
D03-I,0,A8,35,0,0.0,-0.8,0.8
D03-I,1,A1,282,23,0.08156028368794327,0.17484806590756824,0.0
D03-I,1,A2,372,45,0.12096774193548387,0.17864902364122498,0.0
D03-I,1,A3,405,31,0.07654320987654321,0.16602083895121103,0.0
D03-I,1,A4,263,17,0.06463878326996197,0.042068470337519905,0.10646387832699619
D03-I,1,A5,245,16,0.0653061224489796,0.054816487448630775,0.1673469387755102
D03-I,1,A6,196,0,0.0,0.0,0.0
D03-I,1,A7,1964,454,0.23116089613034624,0.6603105128703365,0.01120162932790224
D03-I,1,A8,92,5,0.05434782608695652,-0.2188575319776138,0.5869565217391305
D03-I,2,A1,941,300,0.3188097768331562,1.4809143158550429,0.0
D03-I,2,A2,789,240,0.3041825095057034,1.392699591542863,0.0
D03-I,2,A3,676,165,0.2440828402366864,1.6079416554417085,0.0
D03-I,2,A4,739,160,0.2165087956698241,0.8119076882934777,0.0
D03-I,2,A5,759,151,0.19894598155467721,0.925712761199776,0.0
D03-I,2,A6,336,19,0.05654761904761905,0.2743538312514301,0.0
D03-I,2,A7,1056,593,0.5615530303030303,0.7714092507009074,0.14867424242424243
D03-I,2,A8,189,17,0.08994708994708994,-0.17508706360419288,0.7301587301587301
D03-I,3,A1,1252,179,0.14297124600638977,0.4342573347425826,0.0
D03-I,3,A2,973,96,0.0986639260020555,0.2888745507159256,0.0
D03-I,3,A3,671,35,0.05216095380029806,0.19227152308259798,0.0
D03-I,3,A4,784,64,0.08163265306122448,0.27977995784839177,0.0
D03-I,3,A5,987,98,0.09929078014184398,0.28936766510534045,0.0
D03-I,3,A6,397,0,0.0,0.0,0.0
D03-I,3,A7,1787,883,0.4941242305540011,0.4699482519953061,0.14493564633463907
D03-I,3,A8,164,9,0.054878048780487805,-0.41673490191016366,0.8048780487804879
D03-I,4,A1,5,1,0.2,0.36553524606368415,0.0
D03-I,4,A2,4,3,0.75,7.5,0.0
D03-I,4,A5,3,0,0.0,-1.0,1.0
D03-I,4,A7,15,4,0.26666666666666666,1.2073627263260966,0.0
D03-I,4,A8,1,0,0.0,0.0,0.0
D03-I,5,A2,13,7,0.5384615384615384,2.6099754648438958,0.0
D03-I,6,A1,4141,426,0.10287370200434677,0.36200008945773915,0.0
D03-I,6,A2,4784,592,0.12374581939799331,0.5693466557169127,0.0
D03-I,6,A3,3041,137,0.045050970075633016,0.2488389043200793,0.0
D03-I,6,A4,871,16,0.018369690011481057,-0.594838941101647,0.642939150401837
D03-I,6,A5,751,2,0.002663115845539281,-0.9865084409946141,0.9893475366178429
D03-I,6,A6,3659,387,0.10576660289696638,0.5298185224231811,0.0
D03-I,6,A7,11809,3247,0.274959776441697,1.02899717460814,0.0020323482089931407
D03-I,6,A8,1249,110,0.08807045636509207,0.273016936645172,0.28582866293034426
D03-I,7,A1,3510,118,0.03361823361823362,0.09229601028810176,0.0
D03-I,7,A2,4849,267,0.055062899566921016,0.2904214928925177,0.0
D03-I,7,A3,2832,15,0.005296610169491525,0.044383838428416325,0.0
D03-I,7,A4,498,0,0.0,-0.6927710843373494,0.6927710843373494
D03-I,7,A5,416,1,0.002403846153846154,-0.987746247655778,0.9879807692307693
D03-I,7,A6,2815,31,0.011012433392539964,0.0807384962878958,0.0
D03-I,7,A7,8898,1636,0.18386154191953247,0.5980127672360329,0.013486176668914362
D03-I,7,A8,646,10,0.015479876160990712,-0.29088876793658686,0.3653250773993808
D03-I,8,A1,1271,252,0.1982690794649882,0.9073988246721039,0.0
D03-I,8,A2,1525,219,0.1436065573770492,0.6352035827934694,0.0
D03-I,8,A3,922,100,0.10845986984815618,0.553243849662247,0.0
D03-I,8,A4,543,33,0.06077348066298342,0.21389062210440396,0.09023941068139964
D03-I,8,A5,239,1,0.0041841004184100415,-0.9403979165620213,0.9497907949790795
D03-I,8,A6,797,88,0.11041405269761606,0.6313130929018929,0.0
D03-I,8,A7,2767,977,0.35308998915793277,0.8558248950034938,0.0748102638236357
D03-I,8,A8,267,8,0.0299625468164794,-0.35111755378306164,0.6142322097378277
D03-I,9,A1,1746,96,0.054982817869415807,0.1612543130504642,0.0
D03-I,9,A2,1812,136,0.07505518763796909,0.299131970080752,0.0
D03-I,9,A3,1085,33,0.030414746543778803,0.13301138335653484,0.0
D03-I,9,A4,395,5,0.012658227848101266,-0.054600274249193295,0.10632911392405063
D03-I,9,A5,148,0,0.0,-0.9797297297297297,0.9797297297297297
D03-I,9,A6,944,10,0.01059322033898305,0.04906753193989864,0.0
D03-I,9,A7,2016,515,0.2554563492063492,0.4387389023146236,0.07837301587301587
D03-I,9,A8,173,5,0.028901734104046242,-0.5647759869295941,0.6589595375722543
D03-I,10,A1,2800,570,0.20357142857142857,0.5429707933703161,0.0
D03-I,10,A2,3334,766,0.22975404919016196,1.054281891842753,0.0
D03-I,10,A3,3111,445,0.14304082288653167,0.6065932486278925,0.0
D03-I,10,A4,1080,267,0.24722222222222223,0.1404266441231534,0.2916666666666667
D03-I,10,A5,752,81,0.1077127659574468,-0.317538312593737,0.4946808510638298
D03-I,10,A6,2590,289,0.11158301158301158,0.6704822809612686,0.0
D03-I,10,A7,3186,524,0.16446955430006277,0.6079447642550241,0.05681104833647207
D03-I,10,A8,604,31,0.05132450331125828,-0.08069568823622456,0.3228476821192053
D03-I,11,A1,2632,302,0.11474164133738601,0.1766466400017546,0.0
D03-I,11,A2,2381,204,0.08567828643427132,0.20679059080649875,0.0
D03-I,11,A3,2193,131,0.05973552211582307,0.16276022150148525,0.0
D03-I,11,A4,916,129,0.1408296943231441,0.09717386324749776,0.1331877729257642
D03-I,11,A5,535,51,0.09532710280373832,-0.16681354827969944,0.27289719626168224
D03-I,11,A6,1681,16,0.009518143961927425,0.029224412242458853,0.0
D03-I,11,A7,2363,286,0.12103258569614897,0.3941784192517517,0.10156580617858654
D03-I,11,A8,428,39,0.0911214953271028,-0.02981963089478006,0.37850467289719625
D03-I,12,A1,956,80,0.08368200836820083,0.3901056729804031,0.0
D03-I,12,A2,1473,371,0.25186693822131706,1.7099573992789499,0.0
D03-I,12,A3,1090,146,0.13394495412844037,0.9211823631743661,0.0
D03-I,12,A4,267,0,0.0,-0.9101123595505618,0.9101123595505618
D03-I,12,A5,248,0,0.0,-1.0,1.0
D03-I,12,A6,990,96,0.09696969696969697,0.7489122250869293,0.0
D03-I,12,A7,1966,591,0.30061037639877924,1.681305047750639,0.0
D03-I,12,A8,567,56,0.09876543209876543,0.7577195683554792,0.059964726631393295
D03-I,13,A1,525,20,0.0380952380952381,0.09571752948779534,0.0
D03-I,13,A2,456,17,0.03728070175438596,0.19418692294369921,0.0
D03-I,13,A3,373,21,0.05630026809651475,0.45998552945627064,0.0
D03-I,13,A4,68,0,0.0,-0.8823529411764706,0.8823529411764706
D03-I,13,A5,78,0,0.0,-1.0,1.0
D03-I,13,A6,368,5,0.01358695652173913,0.11609445025926993,0.0
D03-I,13,A7,1207,350,0.2899751449875725,1.1484879331369142,0.0
D03-I,13,A8,236,2,0.00847457627118644,-0.032738523936992885,0.08898305084745763
D03-I,14,A1,5,0,0.0,0.0,0.0
D03-I,14,A3,1,0,0.0,0.0,0.0
D03-I,14,A4,4,0,0.0,-0.25,0.25
D03-I,14,A5,2,0,0.0,-0.5,0.5
D03-I,14,A6,11,0,0.0,0.0,0.0
D03-I,14,A7,92,33,0.358695652173913,0.8574928288425391,0.0
D03-I,14,A8,5,0,0.0,-0.6,0.6
D03-I,15,A1,37,0,0.0,0.0,0.0
D03-I,15,A2,11,0,0.0,0.0,0.0
D03-I,15,A3,24,0,0.0,0.0,0.0
D03-I,15,A4,6,0,0.0,-0.16666666666666666,0.16666666666666666
D03-I,15,A5,7,0,0.0,-1.0,1.0
D03-I,15,A6,20,0,0.0,0.0,0.0
D03-I,15,A7,318,103,0.3238993710691824,0.8659873186382089,0.0
D03-I,15,A8,5,0,0.0,-0.6,0.6
D03-I,16,A1,1198,464,0.38731218697829717,1.4969011882580365,0.0
D03-I,16,A2,806,270,0.3349875930521092,1.2923293749644773,0.0
D03-I,16,A3,556,137,0.24640287769784172,1.2903131387421851,0.0
D03-I,16,A4,611,173,0.28314238952536824,1.197789937222815,0.0
D03-I,16,A5,894,262,0.2930648769574944,0.9759389795460616,0.0011185682326621924
D03-I,16,A6,422,77,0.18246445497630331,1.2031678452697099,0.0
D03-I,16,A7,1155,490,0.42424242424242425,1.2215225496373565,0.09264069264069263
D03-I,16,A8,258,40,0.15503875968992248,0.6457654567831195,0.4496124031007752
D03-I,17,A1,959,187,0.19499478623566216,0.5656358828234734,0.0
D03-I,17,A2,764,143,0.18717277486910994,0.5306293740530238,0.0
D03-I,17,A3,432,29,0.06712962962962964,0.28611688113061673,0.0
D03-I,17,A4,466,46,0.09871244635193133,0.3469517280295967,0.0
D03-I,17,A5,654,117,0.17889908256880735,0.5998412649543245,0.0
D03-I,17,A6,265,3,0.011320754716981131,0.06469069295695493,0.0
D03-I,17,A7,1162,388,0.33390705679862304,0.7011688237013227,0.07228915662650602
D03-I,17,A8,127,9,0.07086614173228346,-0.18318339566358546,0.5826771653543307
D03-I,18,A1,106,25,0.2358490566037736,1.2487026139725508,0.0
D03-I,18,A2,404,212,0.5247524752475248,3.7014318144380196,0.0
D03-I,18,A3,192,28,0.14583333333333334,0.509083893098434,0.0
D03-I,18,A4,51,0,0.0,-0.8627450980392157,0.8627450980392157
D03-I,18,A5,58,0,0.0,-1.0,1.0
D03-I,18,A6,95,11,0.11578947368421053,0.9025660871868338,0.0
D03-I,18,A7,657,235,0.3576864535768645,1.9514172689739133,0.0
D03-I,18,A8,123,28,0.22764227642276422,1.5093234855333038,0.14634146341463414
D03-I,19,A1,34,1,0.029411764705882353,0.29411764705882354,0.0
D03-I,19,A2,102,18,0.17647058823529413,0.9689712649576728,0.0
D03-I,19,A3,69,5,0.07246376811594203,0.383172005183968,0.0
D03-I,19,A4,23,0,0.0,-0.9130434782608695,0.9130434782608695
D03-I,19,A5,33,0,0.0,-1.0,1.0
D03-I,19,A6,28,0,0.0,0.0,0.0
D03-I,19,A7,428,118,0.2757009345794392,1.180106402476539,0.0
D03-I,19,A8,110,19,0.17272727272727273,0.930963628993727,0.12727272727272726
D03-I,20,A1,2325,501,0.21548387096774194,0.8460887853576964,0.0
D03-I,20,A2,3168,656,0.20707070707070707,1.1608398719722786,0.0
D03-I,20,A3,1541,121,0.07852044127190136,0.38477424712792363,0.0
D03-I,20,A4,1389,194,0.1396688264938805,0.20031070159034992,0.12095032397408208
D03-I,20,A5,509,60,0.11787819253438114,-0.4495114083931834,0.650294695481336
D03-I,20,A6,1484,174,0.11725067385444744,0.7212838319452148,0.0
D03-I,20,A7,3086,772,0.25016202203499677,0.6996779355608258,0.034024627349319506
D03-I,20,A8,696,75,0.10775862068965517,0.49834990656716194,0.35919540229885055
D03-I,21,A1,3074,290,0.09433962264150944,0.26656232732623386,0.0
D03-I,21,A2,2907,201,0.06914344685242518,0.2912822165410038,0.0
D03-I,21,A3,1663,23,0.013830426939266387,0.06452817005252079,0.0
D03-I,21,A4,1694,124,0.07319952774498228,0.1165662385951604,0.04604486422668241
D03-I,21,A5,848,73,0.08608490566037735,-0.12567966201162392,0.25235849056603776
D03-I,21,A6,1629,30,0.01841620626151013,0.09796336132788183,0.0
D03-I,21,A7,4097,570,0.13912618989504516,0.27591594993579477,0.020258725896997804
D03-I,21,A8,437,16,0.036613272311212815,-0.3006940356993912,0.5240274599542334
D03-I,22,A1,813,286,0.35178351783517836,2.117688490184424,0.0
D03-I,22,A2,514,79,0.15369649805447472,0.9249720646645601,0.0
D03-I,22,A3,548,102,0.18613138686131386,1.1919647419031751,0.0
D03-I,22,A4,416,60,0.14423076923076922,0.6849479882464802,0.0
D03-I,22,A5,134,2,0.014925373134328358,-0.8497251707244262,0.8731343283582089
D03-I,22,A6,356,43,0.12078651685393259,0.8550129039620019,0.0
D03-I,22,A7,1665,748,0.44924924924924925,1.2920722743563684,0.02882882882882883
D03-I,22,A8,193,20,0.10362694300518134,0.1410864939660723,0.6269430051813472
D03-I,23,A1,701,58,0.08273894436519258,0.4370380664234395,0.0
D03-I,23,A2,475,22,0.04631578947368421,0.19400039522541251,0.0
D03-I,23,A3,408,11,0.02696078431372549,0.19619095268299191,0.0
D03-I,23,A4,469,27,0.057569296375266525,0.32299872446396954,0.0
D03-I,23,A5,76,0,0.0,-0.9605263157894737,0.9605263157894737
D03-I,23,A6,425,10,0.023529411764705882,0.1349751332405744,0.0
D03-I,23,A7,1622,507,0.312577065351418,0.8403842913210069,0.02096177558569667
D03-I,23,A8,107,10,0.09345794392523364,-0.0389660542521286,0.5981308411214953
D03-I,24,A1,1248,384,0.3076923076923077,0.7821720955640751,0.0
D03-I,24,A2,1250,382,0.3056,1.2839785682158824,0.0
D03-I,24,A3,530,101,0.19056603773584907,0.7530030948498773,0.0
D03-I,24,A4,862,213,0.2470997679814385,0.5556038255298973,0.048723897911832945
D03-I,24,A5,523,84,0.16061185468451242,0.2768530206139498,0.0841300191204589
D03-I,24,A6,604,142,0.23509933774834438,1.5930281847234185,0.0
D03-I,24,A7,621,155,0.249597423510467,1.1036175441451777,0.22544283413848631
D03-I,24,A8,222,35,0.15765765765765766,0.5793981984092713,0.3783783783783784
D03-I,25,A1,984,187,0.19004065040650406,0.3980036384989518,0.0
D03-I,25,A2,1111,175,0.15751575157515751,0.4364628597173004,0.0
D03-I,25,A3,293,6,0.020477815699658702,0.041402602544479035,0.0
D03-I,25,A4,796,132,0.1658291457286432,0.3064143823718826,0.008793969849246231
D03-I,25,A5,511,52,0.10176125244618395,0.19438650045016662,0.019569471624266144
D03-I,25,A6,336,8,0.023809523809523808,0.170907929370372,0.0
D03-I,25,A7,588,87,0.14795918367346939,0.26315563351521565,0.32653061224489793
D03-I,25,A8,75,1,0.013333333333333334,-0.6764256006169314,0.72
D03-I,26,A1,102,22,0.21568627450980393,1.0427529716263138,0.0
D03-I,26,A2,206,78,0.3786407766990291,2.4354489819443508,0.0
D03-I,26,A3,186,36,0.1935483870967742,1.4268088619371349,0.0
D03-I,26,A4,36,0,0.0,-1.0,1.0
D03-I,26,A5,45,0,0.0,-1.0,1.0
D03-I,26,A6,259,69,0.26640926640926643,2.128273125291681,0.0
D03-I,26,A7,291,64,0.21993127147766323,1.1849446574185662,0.0
D03-I,26,A8,67,6,0.08955223880597014,0.6001706456701644,0.14925373134328357
D03-I,27,A1,45,7,0.15555555555555556,0.4761564038907556,0.0
D03-I,27,A2,70,11,0.15714285714285714,1.060409141905311,0.0
D03-I,27,A3,87,2,0.022988505747126436,0.19895556250348057,0.0
D03-I,27,A4,19,0,0.0,-0.8947368421052632,0.8947368421052632
D03-I,27,A5,20,0,0.0,-1.0,1.0
D03-I,27,A6,58,1,0.017241379310344827,0.02621590284149096,0.0
D03-I,27,A7,722,182,0.2520775623268698,0.910063083360989,0.0
D03-I,27,A8,29,0,0.0,-0.4482758620689655,0.4482758620689655
D03-I,28,A4,1,0,0.0,0.0,0.0
D03-I,28,A6,1,0,0.0,0.0,0.0
D03-I,28,A7,6,4,0.6666666666666666,6.666666666666667,0.0
D03-I,29,A5,1,0,0.0,-1.0,1.0
D03-I,29,A8,4,2,0.5,5.0,0.0
D03-I,30,A1,971,301,0.309989701338826,1.288632586665865,0.0
D03-I,30,A2,730,221,0.30273972602739724,1.0721251098697544,0.0
D03-I,30,A3,444,35,0.07882882882882883,0.3559157036063566,0.0
D03-I,30,A4,729,213,0.29218106995884774,1.363546272305221,0.0
D03-I,30,A5,1242,404,0.3252818035426731,1.133218870463929,0.0024154589371980675
D03-I,30,A6,368,53,0.14402173913043478,1.254011894953726,0.0
D03-I,30,A7,817,167,0.204406364749082,1.2443731398360043,0.033047735618115054
D03-I,30,A8,200,20,0.1,0.34458237138037745,0.6
D03-I,31,A1,1124,170,0.1512455516014235,0.3695841392002538,0.0
D03-I,31,A2,893,134,0.15005599104143338,0.43575447032722786,0.0
