suite,run,preference,processed,passes,steps
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Balanced,1650,48,240
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Electricity,1700,55,275
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Flow,1650,1138,5690
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Balanced,1650,151,755
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Electricity,1700,51,255
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Flow,1650,819,4095
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Balanced,1650,23,115
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Electricity,1700,70,350
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Flow,1650,931,4655
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Balanced,1650,86,430
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Electricity,1700,73,365
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Flow,1650,1148,5740
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Balanced,1650,42,210
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Electricity,1700,79,395
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Flow,1650,1105,5525
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Balanced,1650,152,760
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Electricity,1700,73,365
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Flow,1650,1049,5245
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Balanced,1650,535,2675
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Electricity,1700,351,1755
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Flow,1650,289,1445
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Balanced,1650,445,2225
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Electricity,1700,310,1550
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Flow,1650,278,1390
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Balanced,1650,442,2210
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Electricity,1700,235,1175
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Flow,1650,372,1860
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Balanced,1650,388,1940
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Electricity,1700,289,1445
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Flow,1650,503,2515
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Balanced,1650,419,2095
