suite,scenario,instance_seed,state,consensus,tied_runs
D03-I,D03I_Compressible,7101,6,0.3333333333333333,0
D03-I,D03I_Compressible,7101,7,0.3333333333333333,0
D03-I,D03I_Compressible,7101,10,0.3333333333333333,0
D03-I,D03I_Compressible,7101,11,0.6666666666666666,0
D03-I,D03I_Compressible,7101,24,0.6666666666666666,0
D03-I,D03I_Compressible,7101,38,0.6666666666666666,0
D03-I,D03I_Compressible,7102,6,0.3333333333333333,0
D03-I,D03I_Compressible,7102,7,0.3333333333333333,1
D03-I,D03I_Compressible,7102,10,0.3333333333333333,0
D03-I,D03I_Compressible,7102,12,0.6666666666666666,0
D03-I,D03I_Compressible,7102,24,0.3333333333333333,0
D03-I,D03I_Compressible,7102,38,0.3333333333333333,0
D03-I,D03I_Demand,7101,10,0.6666666666666666,0
D03-I,D03I_Demand,7101,11,0.3333333333333333,0
D03-I,D03I_Demand,7101,16,0.3333333333333333,0
D03-I,D03I_Demand,7101,20,0.6666666666666666,0
D03-I,D03I_Demand,7101,21,0.3333333333333333,0
D03-I,D03I_Demand,7101,24,0.3333333333333333,0
D03-I,D03I_Demand,7101,34,0.6666666666666666,0
D03-I,D03I_Demand,7101,35,0.3333333333333333,0
D03-I,D03I_Demand,7102,1,0.3333333333333333,0
D03-I,D03I_Demand,7102,10,0.3333333333333333,0
D03-I,D03I_Demand,7102,11,0.6666666666666666,0
D03-I,D03I_Demand,7102,20,0.6666666666666666,0
D03-I,D03I_Demand,7102,24,0.3333333333333333,0
D03-I,D03I_Demand,7102,25,0.6666666666666666,0
D03-I,D03I_Demand,7102,30,0.3333333333333333,0
D03-I,D03I_Demand,7102,34,0.3333333333333333,0
D03-I,D03I_Demand,7102,35,0.3333333333333333,0
D03-I,D03I_KV,7101,6,0.6666666666666666,0
D03-I,D03I_KV,7101,7,1.0,0
D03-I,D03I_KV,7101,12,0.3333333333333333,0
D03-I,D03I_KV,7101,18,0.6666666666666666,0
D03-I,D03I_KV,7101,32,1.0,0
D03-I,D03I_KV,7102,6,1.0,0
D03-I,D03I_KV,7102,7,0.6666666666666666,0
D03-I,D03I_KV,7102,12,0.3333333333333333,0
D03-I,D03I_KV,7102,20,0.6666666666666666,0
D03-I,D03I_Normal,7101,6,0.6666666666666666,0
D03-I,D03I_Normal,7101,7,0.3333333333333333,0
D03-I,D03I_Normal,7101,12,0.3333333333333333,0
D03-I,D03I_Normal,7101,13,0.6666666666666666,0
D03-I,D03I_Normal,7101,20,0.6666666666666666,0
D03-I,D03I_Normal,7101,26,1.0,0
D03-I,D03I_Normal,7101,34,0.6666666666666666,0
D03-I,D03I_Normal,7102,6,0.3333333333333333,0
D03-I,D03I_Normal,7102,7,1.0,0
D03-I,D03I_Normal,7102,12,0.3333333333333333,0
D03-I,D03I_Normal,7102,13,0.3333333333333333,0
D03-I,D03I_Normal,7102,20,0.6666666666666666,0
D03-I,D03I_Normal,7102,21,0.6666666666666666,0
D03-I,D03I_Normal,7102,26,1.0,0
D03-I,D03I_Normal,7102,34,1.0,0
D03-I,D03I_Normal,7102,35,1.0,0
D03-I,D03I_Region,7101,6,0.6666666666666666,0
D03-I,D03I_Region,7101,7,0.3333333333333333,0
D03-I,D03I_Region,7101,10,0.6666666666666666,0
D03-I,D03I_Region,7101,20,0.3333333333333333,0
D03-I,D03I_Region,7101,21,0.6666666666666666,0
D03-I,D03I_Region,7101,34,0.6666666666666666,0
D03-I,D03I_Region,7101,35,0.6666666666666666,0
D03-I,D03I_Region,7102,6,0.6666666666666666,0
D03-I,D03I_Region,7102,7,0.6666666666666666,0
D03-I,D03I_Region,7102,10,0.6666666666666666,0
D03-I,D03I_Region,7102,20,0.3333333333333333,0
D03-I,D03I_Region,7102,21,0.6666666666666666,0
D03-I,D03I_Region,7102,34,0.6666666666666666,0
D03-I,D03I_Region,7102,35,0.6666666666666666,0
D03-I,D03I_Resource,7101,2,0.3333333333333333,0
D03-I,D03I_Resource,7101,3,0.6666666666666666,0
D03-I,D03I_Resource,7101,16,0.3333333333333333,0
D03-I,D03I_Resource,7101,17,0.3333333333333333,0
D03-I,D03I_Resource,7101,30,0.3333333333333333,0
D03-I,D03I_Resource,7101,31,0.6666666666666666,0
D03-I,D03I_Resource,7102,2,0.6666666666666666,0
D03-I,D03I_Resource,7102,3,0.3333333333333333,0
D03-I,D03I_Resource,7102,16,0.3333333333333333,0
D03-I,D03I_Resource,7102,17,0.3333333333333333,0
D03-I,D03I_Resource,7102,30,0.6666666666666666,0
D03-I,D03I_Resource,7102,31,0.6666666666666666,0
D03-I,D03I_TOU,7101,8,0.3333333333333333,0
D03-I,D03I_TOU,7101,9,0.6666666666666666,0
D03-I,D03I_TOU,7101,22,0.6666666666666666,0
D03-I,D03I_TOU,7101,23,0.6666666666666666,0
D03-I,D03I_TOU,7101,36,0.3333333333333333,0
D03-I,D03I_TOU,7101,37,0.6666666666666666,0
D03-I,D03I_TOU,7102,8,0.3333333333333333,0
D03-I,D03I_TOU,7102,9,0.3333333333333333,0
D03-I,D03I_TOU,7102,20,0.3333333333333333,0
D03-I,D03I_TOU,7102,22,0.6666666666666666,0
D03-I,D03I_TOU,7102,23,0.6666666666666666,0
D03-II,D03II_long,8101,8,0.6666666666666666,0
D03-II,D03II_long,8101,9,0.6666666666666666,0
D03-II,D03II_long,8101,20,0.3333333333333333,0
D03-II,D03II_long,8101,22,0.3333333333333333,0
D03-II,D03II_long,8101,23,0.3333333333333333,0
D03-II,D03II_long,8101,34,0.6666666666666666,0
D03-II,D03II_long,8101,35,0.6666666666666666,0
D03-II,D03II_long,8101,36,0.6666666666666666,0
D03-II,D03II_long,8101,37,0.3333333333333333,0
D03-II,D03II_long,8102,8,1.0,0
D03-II,D03II_long,8102,9,0.3333333333333333,0
D03-II,D03II_long,8102,20,0.3333333333333333,0
D03-II,D03II_long,8102,22,0.3333333333333333,0
D03-II,D03II_long,8102,23,0.3333333333333333,0
