suite,run,from_condition,to_condition,n
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Demand,Demand,3749
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Region,Region,1194
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Region,Demand,7
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Compressible,Compressible,7
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Demand,Region,5
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,Compressible,Demand,2
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Demand,Demand,3331
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Region,Region,731
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Region,Demand,15
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Demand,Region,4
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Compressible,Compressible,2
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,Compressible,Region,1
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Region,Region,3141
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Demand,Demand,931
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Compressible,Compressible,9
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Region,Demand,9
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Demand,Region,4
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Demand,Compressible,1
D03-I,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,Compressible,Demand,1
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Demand,Demand,4273
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Region,Region,880
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Compressible,Compressible,44
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Region,Demand,14
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Demand,Region,6
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Compressible,Demand,6
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Demand,Compressible,4
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,Region,Compressible,1
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Demand,Demand,4716
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Region,Region,129
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Compressible,Compressible,47
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Compressible,Demand,5
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Region,Demand,3
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Demand,Compressible,2
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,Demand,Region,2
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Region,Region,4715
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Demand,Demand,324
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Compressible,Compressible,27
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Demand,Region,9
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Compressible,Demand,6
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Region,Demand,6
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Demand,Compressible,5
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Compressible,Region,2
D03-I,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,Region,Compressible,2
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Demand,Demand,3143
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Region,Region,1306
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Resource,Resource,88
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Normal,Normal,87
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Region,Demand,20
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Resource,Demand,12
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Demand,Region,10
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Demand,Normal,9
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Region,Resource,9
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Normal,Demand,8
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Resource,Region,7
D03-I,type_i_D03I_Demand_strong_j50_i7101_a101_g50,Demand,Resource,1
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Region,Region,2777
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Demand,Demand,1173
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Resource,Resource,129
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Region,Demand,17
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Demand,Region,10
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Resource,Region,9
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Region,Resource,8
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Resource,Demand,6
D03-I,type_i_D03I_Demand_strong_j50_i7101_a202_g50,Demand,Resource,3
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Demand,Demand,3065
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Region,Region,821
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Resource,Resource,130
