instance_id,instance_seed,jobs,parameters_json,path,profile,role,scenario,sha256,suite_type,target_condition,variant
D03I_Normal_j50_i7101,7101,50,"{""c"": [0.06, 0.08, 0.1], ""d"": [90, 120, 180], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 10], ""p"": [45, 60, 90], ""profile"": ""soft"", ""regions"": 3, ""release"": [7200, 120], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Normal"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [1, 2]}",instances/diagnostic_d03/evaluation/D03I_Normal/jobs50_seed7101.json,soft,evaluation,D03I_Normal,c73e0942c4cf3055d28f87193c23eff0abb3d4f41b71e79868b906844122558a,type_i,Normal,soft
D03I_Normal_j50_i7102,7102,50,"{""c"": [0.06, 0.08, 0.1], ""d"": [90, 120, 180], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 10], ""p"": [45, 60, 90], ""profile"": ""soft"", ""regions"": 3, ""release"": [7200, 120], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Normal"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [1, 2]}",instances/diagnostic_d03/evaluation/D03I_Normal/jobs50_seed7102.json,soft,evaluation,D03I_Normal,7f691942aabafbe357e8fbb53d6067e6421e2c70bccc18017b8949edcf516ad2,type_i,Normal,soft
D03I_Resource_j50_i7101,7101,50,"{""c"": [0.4, 0.52, 0.64], ""d"": [300, 600, 900], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [120, 300, 480], ""profile"": ""moderate"", ""regions"": 3, ""release"": [900, 30], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Resource"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [4, 6, 8]}",instances/diagnostic_d03/evaluation/D03I_Resource/jobs50_seed7101.json,moderate,evaluation,D03I_Resource,12d8aad2f81cdc613bdbb35e46950ced3b7bcb61bcade7a0ee5d34a91fb8995d,type_i,Resource,moderate
D03I_Resource_j50_i7102,7102,50,"{""c"": [0.4, 0.52, 0.64], ""d"": [300, 600, 900], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [120, 300, 480], ""profile"": ""moderate"", ""regions"": 3, ""release"": [900, 30], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Resource"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [4, 6, 8]}",instances/diagnostic_d03/evaluation/D03I_Resource/jobs50_seed7102.json,moderate,evaluation,D03I_Resource,8d924387664ba5a64a72b0a18b3ffa6de22f21dade7e7274b8af746309bc3673,type_i,Resource,moderate
D03I_KV_j50_i7101,7101,50,"{""c"": [0.06, 0.1, 0.14], ""d"": [60, 120, 180], ""demand"": 1.0, ""jobs"": 50, ""kv"": [600, 900, 1200], ""p"": [30, 60, 90], ""profile"": ""moderate"", ""regions"": 3, ""release"": [3600, 60], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""KV"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [1, 2]}",instances/diagnostic_d03/evaluation/D03I_KV/jobs50_seed7101.json,moderate,evaluation,D03I_KV,88d75abcea933e59655c09ad5ef9577f79ef6809b9f80fbdd41a832c05585d4f,type_i,KV,moderate
D03I_KV_j50_i7102,7102,50,"{""c"": [0.06, 0.1, 0.14], ""d"": [60, 120, 180], ""demand"": 1.0, ""jobs"": 50, ""kv"": [600, 900, 1200], ""p"": [30, 60, 90], ""profile"": ""moderate"", ""regions"": 3, ""release"": [3600, 60], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""KV"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [1, 2]}",instances/diagnostic_d03/evaluation/D03I_KV/jobs50_seed7102.json,moderate,evaluation,D03I_KV,f6abbeecaa0f0889a69bff874ac0569301f1300d066a821c799de729df09b348,type_i,KV,moderate
D03I_Region_j50_i7101,7101,50,"{""c"": [0.1, 0.15, 0.2], ""d"": [300, 600, 900], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [120, 240, 360], ""profile"": ""soft"", ""regions"": 3, ""release"": [3000, 60], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Region"", ""tariff"": ""region"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [2, 4]}",instances/diagnostic_d03/evaluation/D03I_Region/jobs50_seed7101.json,soft,evaluation,D03I_Region,4469731fd461a1285063a3a2252f85555bf4b11fbdb62f1ab3ead32874c1f3f9,type_i,Region,soft
D03I_Region_j50_i7102,7102,50,"{""c"": [0.1, 0.15, 0.2], ""d"": [300, 600, 900], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [120, 240, 360], ""profile"": ""soft"", ""regions"": 3, ""release"": [3000, 60], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Region"", ""tariff"": ""region"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [2, 4]}",instances/diagnostic_d03/evaluation/D03I_Region/jobs50_seed7102.json,soft,evaluation,D03I_Region,8990a51471f5d27a1f9ad3935acc6e809c5100e8cf85fe67c75ee8c42cce5d09,type_i,Region,soft
D03I_TOU_j50_i7101,7101,50,"{""c"": [0.08, 0.12, 0.16], ""d"": [600, 900, 1200], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [240, 480, 600], ""profile"": ""soft"", ""regions"": 3, ""release"": [1800, 60], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""TOU"", ""tariff"": ""tou"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [2, 4]}",instances/diagnostic_d03/evaluation/D03I_TOU/jobs50_seed7101.json,soft,evaluation,D03I_TOU,82a44a38ba8453f3532e50153b01bec2c0d6fce589774aa027446406ea2d5eed,type_i,TOU,soft
D03I_TOU_j50_i7102,7102,50,"{""c"": [0.08, 0.12, 0.16], ""d"": [600, 900, 1200], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [240, 480, 600], ""profile"": ""soft"", ""regions"": 3, ""release"": [1800, 60], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""TOU"", ""tariff"": ""tou"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [2, 4]}",instances/diagnostic_d03/evaluation/D03I_TOU/jobs50_seed7102.json,soft,evaluation,D03I_TOU,03a6df0b06f1c3db56ef7b5a7428246ffa5a47875b3d936e2b69004b64b80397,type_i,TOU,soft
D03I_Demand_j50_i7101,7101,50,"{""c"": [0.12, 0.2, 0.28], ""d"": [480, 720, 900], ""demand"": 5.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [180, 300, 480], ""profile"": ""strong"", ""regions"": 3, ""release"": [120, 30], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Demand"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [2, 4]}",instances/diagnostic_d03/evaluation/D03I_Demand/jobs50_seed7101.json,strong,evaluation,D03I_Demand,7b6922154f320f993ea509293c706fe9ccff8a7cf390869063388cbacc079bca,type_i,Demand,strong
D03I_Demand_j50_i7102,7102,50,"{""c"": [0.12, 0.2, 0.28], ""d"": [480, 720, 900], ""demand"": 5.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [180, 300, 480], ""profile"": ""strong"", ""regions"": 3, ""release"": [120, 30], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Demand"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [2, 4]}",instances/diagnostic_d03/evaluation/D03I_Demand/jobs50_seed7102.json,strong,evaluation,D03I_Demand,a933b0d5c1c11095be15ee00e0fb9d28c02db6e6ac626deb883c2a864280e9e9,type_i,Demand,strong
D03I_Compressible_j50_i7101,7101,50,"{""c"": [0.06, 0.1, 0.14], ""d"": [600, 900, 1200], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [60, 120, 240], ""profile"": ""soft"", ""regions"": 3, ""release"": [10800, 120], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Compressible"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [1, 2]}",instances/diagnostic_d03/evaluation/D03I_Compressible/jobs50_seed7101.json,soft,evaluation,D03I_Compressible,bbe3115508d535c143bcb0f1b8996a39da5b4e5cef7bbdea9ea12027762626f3,type_i,Compressible,soft
D03I_Compressible_j50_i7102,7102,50,"{""c"": [0.06, 0.1, 0.14], ""d"": [600, 900, 1200], ""demand"": 1.0, ""jobs"": 50, ""kv"": [0, 30], ""p"": [60, 120, 240], ""profile"": ""soft"", ""regions"": 3, ""release"": [10800, 120], ""servers_per_region"": 3, ""suite"": ""D03"", ""target_condition"": ""Compressible"", ""tariff"": ""flat"", ""type"": ""I"", ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""v"": [1, 2]}",instances/diagnostic_d03/evaluation/D03I_Compressible/jobs50_seed7102.json,soft,evaluation,D03I_Compressible,0f1c00f0fd97b51c194d0e87b046f4dd4211f429535f33201387985671605b6d,type_i,Compressible,soft
