suite,condition,n,share,runs,instances
D01,Normal,1072,0.004683574720929724,12,4
D01,Resource,25190,0.11005526792930947,9,3
D01,KV,2241,0.009790943050003277,9,3
D01,Region,123568,0.5398693667125413,54,18
D01,TOU,21206,0.09264914695152587,9,3
D01,Demand,54575,0.2384385171592721,43,16
D01,Compressible,1033,0.004513183476418289,23,9
D02,Normal,0,0.0,0,0
D02,Resource,60,0.0010990017400860884,5,3
D02,KV,0,0.0,0,0
D02,Region,9542,0.17477791006502427,15,5
D02,TOU,44873,0.8219250847147175,15,5
D02,Demand,87,0.0015935525231248282,9,4
D02,Compressible,33,0.0006044509570473487,2,1
D03-I,Normal,5857,0.022788996537099725,8,4
D03-I,Resource,34474,0.13413485856581456,12,4
D03-I,KV,4531,0.01762966421540018,6,2
D03-I,Region,119862,0.4663709583284697,36,12
D03-I,TOU,33400,0.12995603283918913,6,2
D03-I,Demand,45364,0.1765067507100891,26,9
D03-I,Compressible,13522,0.05261273880393759,18,6
D03-II,Normal,0,0.0,0,0
D03-II,Resource,0,0.0,0,0
D03-II,KV,0,0.0,0,0
D03-II,Region,16298,0.17146764860599684,15,5
D03-II,TOU,78215,0.8228826933193056,15,5
D03-II,Demand,532,0.005597054182009469,14,5
D03-II,Compressible,5,5.2603892688058915e-05,1,1
